"plot_ID","tree_ID","tree_inventory_status","multi_stem","dist_cm","azi_gon","age","age_meth","SP_code","Kraft","C_layer","H_dm","C_h_dm","D_mm","DBH_h_cm","inv_year","inv","X","Nr_code","Chr_code_ger","name","bot_name","bot_genus","bot_species","Flora_EU","LH_NH","IPC","WZE","BWI","BZE_al","tpS_SP_com_name","tpS_ID","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group","N_f_SP_group_MoMoK","RG_Wolff_bio","DBH_cm","CCS_r_m","rem_reason"
"160035",81,-9,0,905,393,52,1,"sbi","2",1,178,95,345,150,2011,"HBI",36,107,"SBi","Sand-Birke","Betula pendula","Betula","pendula","034.001.001","LB",10,30011,"BI","WAHR","Betula spp.",26,"bu","aLn","shw","BI","BI","BI","BI",34.6,17.84,"LT cirlce excluded during inventory status sorting"
"160059",1,-9,0,961,125,120,5,"gki","2",1,283,179,467,130,2012,"HBI",28,211,"GKi","Gewoehnliche Kiefer","Pinus sylvestris","Pinus","sylvestris","026.007.007","NB",134,30015,"KI","WAHR","Pinus sylvestris",5,"ki","ki","ki","KI","KI","KI","KI",46.7,17.84,"LT cirlce excluded during inventory status sorting"
"160069",17,-9,0,222,24,27,2,"gfi","1",1,171,63,303,130,2011,"HBI",83,207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","026.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI",30.3,17.84,"LT cirlce excluded during inventory status sorting"
"160083",49,-9,0,884,247,90,5,"rbu","1",1,178,38,483,130,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",48.3,17.84,"LT cirlce excluded during inventory status sorting"
"30081",1,-9,0,271,169,174,1,"rbu","0",3,287,86,638,130,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",63.8,17.84,"LT cirlce excluded during inventory status sorting"
"30081",2,-9,0,562,124,174,1,"rbu","0",3,238,27,578,130,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",57.8,17.84,"LT cirlce excluded during inventory status sorting"
"30081",3,-9,0,1216,206,174,1,"rbu","0",3,251,79,822,160,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",82.35,17.84,"LT cirlce excluded during inventory status sorting"
"30602",4,-9,0,768,342,24,4,"gfi","1",1,156,13,416,130,2011,"HBI",83,207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","026.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI",41.6,17.84,"LT cirlce excluded during inventory status sorting"
"30611",1,-9,0,1182,185,56,1,"gfi","2",1,269,154,375,160,2011,"HBI",83,207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","026.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI",37.65,17.84,"LT cirlce excluded during inventory status sorting"
"30652",13,-9,0,1002,292,27,1,"gfi","1",1,207,32,311,160,2011,"HBI",83,207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","026.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI",31.25,17.84,"LT cirlce excluded during inventory status sorting"
"50075",1,-9,0,910,326,84,5,"sei","1",3,104,31,360,155,2011,"HBI",39,117,"SEi","Stiel-Eiche","Quercus robur ","Quercus","robur ","036.004.014","LB",51,30013,"EI","WAHR","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI",36.125,17.84,"LT cirlce excluded during inventory status sorting"
"60011",2,-9,0,968,338,94,6,"rbu","0",3,286,55,409,130,2012,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",40.9,17.84,"LT cirlce excluded during inventory status sorting"
"60021",3,-9,0,682,351,100,6,"gfi","2",1,285,219,305,130,2012,"HBI",83,207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","026.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI",30.5,17.84,"LT cirlce excluded during inventory status sorting"
"60021",4,-9,0,814,321,100,6,"gfi","2",1,318,199,510,130,2012,"HBI",83,207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","026.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI",51,17.84,"LT cirlce excluded during inventory status sorting"
"60025",1,-9,0,593,397,55,6,"rbu","1",1,245,90,322,130,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",32.2,17.84,"LT cirlce excluded during inventory status sorting"
"60094",1,-9,0,675,380,170,-9,"rbu","0",3,387,64,740,130,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",74,17.84,"LT cirlce excluded during inventory status sorting"
"60094",4,-9,0,486,190,170,-9,"rbu","0",3,384,39,743,130,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",74.3,17.84,"LT cirlce excluded during inventory status sorting"
"70010",1,-9,0,152,361,153,1,"rbu","2",1,431,168,748,130,2012,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",74.8,17.84,"LT cirlce excluded during inventory status sorting"
"70010",3,-9,0,1198,251,153,1,"rbu","2",1,326,157,567,130,2012,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",56.7,17.84,"LT cirlce excluded during inventory status sorting"
"70010",4,-9,0,969,123,153,1,"rbu","2",1,397,176,669,130,2012,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",66.9,17.84,"LT cirlce excluded during inventory status sorting"
"70022",19,-9,0,775,310,41,1,"rbu","1",1,237,109,340,130,2012,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",34,17.84,"LT cirlce excluded during inventory status sorting"
"70042",1,-9,0,163,196,100,5,"rbu","0",3,192,66,399,130,2012,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",39.9,17.84,"LT cirlce excluded during inventory status sorting"
"70042",2,-9,0,160,286,180,1,"tei","0",3,351,123,639,130,2012,"HBI",38,116,"TEi","Trauben-Eiche","Quercus petraea","Quercus","petraea","036.004.011","LB",48,30013,"EI","WAHR","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI",63.9,17.84,"LT cirlce excluded during inventory status sorting"
"70116",6,-9,0,1080,312,22,1,"bi","1",1,176,57,344,130,2012,"HBI",5,106,"Bi","Birke","Betula spp.","Betula","spp.","034.001.999.DL","LB",212,30011,"BI","WAHR","Betula spp.",26,"bu","aLn","shw","BI","BI","BI","BI",34.4,17.84,"LT cirlce excluded during inventory status sorting"
"80008",1,-9,0,702,397,100,5,"rbu","0",3,-9,-9,434,130,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",43.4,17.84,"LT cirlce excluded during inventory status sorting"
"80012",1,-9,0,499,220,45,5,"gfi","0",3,127,111,231,130,2011,"HBI",83,207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","026.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI",23.1,12.62,"LT cirlce excluded during inventory status sorting"
"80021",6,-9,0,812,394,75,5,"gfi","1",1,171,52,420,130,2011,"HBI",83,207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","026.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI",42,17.84,"LT cirlce excluded during inventory status sorting"
"80021",60,-9,0,926,343,70,5,"gfi","1",1,170,68,352,130,2011,"HBI",83,207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","026.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI",35.2,17.84,"LT cirlce excluded during inventory status sorting"
"80029",1,-9,0,770,33,99,5,"rbu","3",1,279,27,482,130,2012,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",48.2,17.84,"LT cirlce excluded during inventory status sorting"
"80029",2,-9,0,534,384,110,5,"hbu","2",1,324,71,556,130,2012,"HBI",6,109,"HBu","Hainbuche","Carpinus betulus","Carpinus","betulus","035.001.001","LB",13,30011,"HBU","WAHR","Carpinus betulus",16,"bu","aLh","bu","BU","BU","aLB","ES",55.6,17.84,"LT cirlce excluded during inventory status sorting"
"80029",3,-9,0,1183,230,145,5,"gfi","1",1,407,214,608,250,2012,"HBI",83,207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","026.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI",61.4,17.84,"LT cirlce excluded during inventory status sorting"
"80029",4,-9,0,688,249,92,5,"rbu","3",1,291,35,475,100,2012,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",47.35,17.84,"LT cirlce excluded during inventory status sorting"
"80029",5,-9,0,546,301,139,5,"wta","1",1,365,269,581,370,2012,"HBI",23,201,"WTa","Weiß-Tanne","Abies alba","Abies","alba","026.001.006","NB",100,30012,"TA","WAHR","Abies alba",3,"ta","fi","fi","FI","FI","aNB","FI",59.3,17.84,"LT cirlce excluded during inventory status sorting"
"80051",2,-9,0,551,162,30,5,"rbu","1",1,59,12,131,130,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",13.1,12.62,"LT cirlce excluded during inventory status sorting"
"80068",19,-9,0,854,246,115,5,"wta","0",3,-9,-9,579,130,2012,"HBI",23,201,"WTa","Weiß-Tanne","Abies alba","Abies","alba","026.001.006","NB",100,30012,"TA","WAHR","Abies alba",3,"ta","fi","fi","FI","FI","aNB","FI",57.9,17.84,"LT cirlce excluded during inventory status sorting"
"80068",22,-9,0,502,226,110,5,"wta","0",3,335,283,562,130,2012,"HBI",23,201,"WTa","Weiß-Tanne","Abies alba","Abies","alba","026.001.006","NB",100,30012,"TA","WAHR","Abies alba",3,"ta","fi","fi","FI","FI","aNB","FI",56.2,17.84,"LT cirlce excluded during inventory status sorting"
"80068",23,-9,0,878,188,145,5,"wta","0",3,348,274,717,130,2012,"HBI",23,201,"WTa","Weiß-Tanne","Abies alba","Abies","alba","026.001.006","NB",100,30012,"TA","WAHR","Abies alba",3,"ta","fi","fi","FI","FI","aNB","FI",71.7,17.84,"LT cirlce excluded during inventory status sorting"
"80101",3,-9,0,400,95,150,5,"ela","0",3,365,274,741,130,2011,"HBI",26,204,"ELa","Europaeische Laerche","Larix decidua","Larix","decidua","026.005.002","NB",116,30012,"ELA","WAHR","Larix decidua",10,"lae","ki","ki","KI","LA","aNB","FI",74.1,17.84,"LT cirlce excluded during inventory status sorting"
"80162",53,-9,0,1240,15,20,6,"bi","1",1,190,67,300,130,2012,"HBI",5,106,"Bi","Birke","Betula spp.","Betula","spp.","034.001.999.DL","LB",212,30011,"BI","WAHR","Betula spp.",26,"bu","aLn","shw","BI","BI","BI","BI",30,17.84,"LT cirlce excluded during inventory status sorting"
"80308",1,-9,0,430,116,10,5,"rbu","1",1,79,20,101,130,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",10.1,12.62,"LT cirlce excluded during inventory status sorting"
