"plot_ID","tree_ID","tree_inventory_status","multi_stem","dist_cm","azi_gon","age","age_meth","SP_code","Kraft","C_layer","H_dm","C_h_dm","D_mm","DBH_h_cm","inv_year","inv","X","Nr_code","Chr_code_ger","name","bot_name","bot_genus","bot_species","Flora_EU","LH_NH","IPC","WZE","BWI","BZE_al","tpS_SP_com_name","tpS_ID","H_SP_group","BWI_SP_group","Bio_SP_group","N_SP_group","N_bg_SP_group","N_f_SP_group_MoMoK","RG_Wolff_bio","DBH_cm","CCS_r_m","rem_reason"
"50064",15,-9,0,2026,191,98,5,"rbu","2",1,345,72,1025,150,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",102.6,17.84,"single LT excluded during inventory status sorting"
"60007",12,-9,0,1867,173,115,6,"ta","1",1,406,177,805,200,2011,"HBI",80,200,"Ta","Tanne","Abies spp.","Abies","spp.","026.001.999.DL","NB",198,30012,"TA","WAHR","Abies alba",3,"ta","fi","fi","FI","FI","aNB","FI",80.85,17.84,"single LT excluded during inventory status sorting"
"60013",17,-9,0,1793,280,151,6,"gfi","1",1,-9,-9,659,180,2011,"HBI",83,207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","026.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI",66.15,17.84,"single LT excluded during inventory status sorting"
"60017",10,-9,0,2049,73,104,6,"gfi","2",1,282,28,905,130,2012,"HBI",83,207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","026.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI",90.5,17.84,"single LT excluded during inventory status sorting"
"60023",27,-9,0,1809,233,180,5,"ei","1",1,-9,-9,805,130,2012,"HBI",73,163,"Ei","Eiche","Quercus robur x petraea","Quercus","robur x petraea","036.004.999.DL","LB",98,30013,"EI","WAHR","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI",80.5,17.84,"single LT excluded during inventory status sorting"
"60023",28,-9,0,1978,259,180,5,"ei","1",1,330,170,817,130,2012,"HBI",73,163,"Ei","Eiche","Quercus robur x petraea","Quercus","robur x petraea","036.004.999.DL","LB",98,30013,"EI","WAHR","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI",81.7,17.84,"single LT excluded during inventory status sorting"
"60040",11,-9,0,1799,235,71,6,"gfi","1",1,330,95,724,140,2012,"HBI",83,207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","026.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI",72.45,17.84,"single LT excluded during inventory status sorting"
"60053",6,-9,0,1868,93,155,6,"rbu","2",1,350,114,770,130,2012,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",77,17.84,"single LT excluded during inventory status sorting"
"60053",9,-9,0,1887,185,155,6,"rbu","2",1,-9,-9,781,140,2012,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",78.15,17.84,"single LT excluded during inventory status sorting"
"60077",2,-9,0,1860,31,250,5,"ei","1",1,262,126,876,130,2011,"HBI",73,163,"Ei","Eiche","Quercus robur x petraea","Quercus","robur x petraea","036.004.999.DL","LB",98,30013,"EI","WAHR","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI",87.6,17.84,"single LT excluded during inventory status sorting"
"60077",3,-9,0,1819,70,200,5,"rbu","1",1,301,113,905,130,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",90.5,17.84,"single LT excluded during inventory status sorting"
"60077",31,-9,0,2324,140,250,5,"ei","1",1,-2,-9,1002,130,2011,"HBI",73,163,"Ei","Eiche","Quercus robur x petraea","Quercus","robur x petraea","036.004.999.DL","LB",98,30013,"EI","WAHR","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI",100.2,17.84,"single LT excluded during inventory status sorting"
"60089",6,-9,0,1819,244,200,5,"rbu","2",1,-9,-9,980,130,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",98,17.84,"single LT excluded during inventory status sorting"
"60102",8,-9,0,1965,94,150,5,"rbu","0",3,363,23,921,130,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",92.1,17.84,"single LT excluded during inventory status sorting"
"60102",33,-9,0,2033,376,150,5,"rbu","0",3,270,17,1002,130,2011,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",100.2,17.84,"single LT excluded during inventory status sorting"
"70021",11,-9,0,2082,2,173,1,"rbu","1",1,453,186,846,130,2012,"HBI",8,111,"RBu","Rot-Buche","Fagus sylvatica","Fagus","sylvatica","036.001.001","LB",20,30016,"BU","WAHR","Fagus sylvatica",15,"bu","bu","bu","BU","BU","aLB","BU",84.6,17.84,"single LT excluded during inventory status sorting"
"70034",19,-9,0,1845,312,128,1,"tei","1",1,306,137,748,130,2012,"HBI",38,116,"TEi","Trauben-Eiche","Quercus petraea","Quercus","petraea","036.004.011","LB",48,30013,"EI","WAHR","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI",74.8,17.84,"single LT excluded during inventory status sorting"
"70133",7,-9,NA,2060,257,167,1,"spa","1",1,336,116,999,130,2012,"HBI",59,147,"SPa","Schwarzpappel","Populus nigra","Populus","nigra","031.022.008","LB",34,30011,"PA","WAHR","Populus spp.",19,"bu","aLn","shw","BI","BI","aLB","BI",99.9,17.84,"single LT excluded during inventory status sorting"
"70137",18,-9,0,1805,290,46,1,"pa","1",1,449,119,794,130,2012,"HBI",11,114,"Pa","Pappel","Populus spp.","Populus","spp.","031.002.999.DL","LB",211,30011,"PA","WAHR","Populus spp.",19,"bu","aLn","shw","BI","BI","aLB","BI",79.4,17.84,"single LT excluded during inventory status sorting"
"80003",4,-9,0,1975,308,110,5,"dgl","0",3,470,274,808,130,2011,"HBI",86,212,"Dgl","Douglasie","Pseudotsuga menziestii","Pseudotsuga","menziestii","026.002.001","NB",136,30012,"DGL","WAHR","Pseudotsuga menziesii",8,"dgl","fi","fi","FI","FI","aNB","FI",80.8,17.84,"single LT excluded during inventory status sorting"
"80031",32,-9,0,2056,307,195,6,"gfi","1",1,-9,-9,898,130,2011,"HBI",83,207,"GFi","Gewoehnliche Fichte","Picea abies ","Picea","abies ","026.004.001","NB",118,30014,"FI","WAHR","Picea abies",1,"fi","fi","fi","FI","FI","FI","FI",89.8,17.84,"single LT excluded during inventory status sorting"
"80084",11,-9,0,1978,187,160,5,"wta","2",1,-9,-9,798,130,2011,"HBI",23,201,"WTa","Weiß-Tanne","Abies alba","Abies","alba","026.001.006","NB",100,30012,"TA","WAHR","Abies alba",3,"ta","fi","fi","FI","FI","aNB","FI",79.8,17.84,"single LT excluded during inventory status sorting"
"80157",17,-9,0,1913,168,210,5,"ei","0",3,-9,-9,1134,130,2012,"HBI",73,163,"Ei","Eiche","Quercus robur x petraea","Quercus","robur x petraea","036.004.999.DL","LB",98,30013,"EI","WAHR","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI",113.4,17.84,"single LT excluded during inventory status sorting"
"80189",20,-9,0,2380,101,151,6,"ei","2",1,-9,-9,1011,130,2012,"HBI",73,163,"Ei","Eiche","Quercus robur x petraea","Quercus","robur x petraea","036.004.999.DL","LB",98,30013,"EI","WAHR","Quercus spp.",17,"ei","ei","ei","EI","EI","aLB","EI",101.1,17.84,"single LT excluded during inventory status sorting"
