"plot_ID","team","date","stand_spec","stand_type","structure","hbi_status","inv_year","inv","CCS_r_m","CCS_LT_inv_status"
80097,"Kruse;Harder",2011-12-23,1,3,2,1,2011,"HBI",5.64,1
80097,"Kruse;Harder",2011-12-23,1,3,2,1,2011,"HBI",12.62,1
80097,"Kruse;Harder",2011-12-23,1,3,2,1,2011,"HBI",17.84,1
80098,"Mertz,Schäfer",2011-11-14,1,8,2,1,2011,"HBI",5.64,1
80098,"Mertz,Schäfer",2011-11-14,1,8,2,1,2011,"HBI",12.62,1
80098,"Mertz,Schäfer",2011-11-14,1,8,2,1,2011,"HBI",17.84,2
80099,"Kruse;Harder",2011-10-29,1,1,6,1,2011,"HBI",5.64,1
80099,"Kruse;Harder",2011-10-29,1,1,6,1,2011,"HBI",12.62,1
80099,"Kruse;Harder",2011-10-29,1,1,6,1,2011,"HBI",17.84,1
80100,"Kruse;Harder",2011-10-29,1,1,2,1,2011,"HBI",5.64,1
80100,"Kruse;Harder",2011-10-29,1,1,2,1,2011,"HBI",12.62,1
80100,"Kruse;Harder",2011-10-29,1,1,2,1,2011,"HBI",17.84,1
80101,"Kruse;Harder",2011-11-06,1,1,1,1,2011,"HBI",5.64,1
80101,"Kruse;Harder",2011-11-06,1,1,1,1,2011,"HBI",12.62,1
80101,"Kruse;Harder",2011-11-06,1,1,1,1,2011,"HBI",17.84,2
80102,"Kruse;Harder",2011-08-10,1,4,3,1,2011,"HBI",5.64,1
80102,"Kruse;Harder",2011-08-10,1,4,3,1,2011,"HBI",12.62,1
80102,"Kruse;Harder",2011-08-10,1,4,3,1,2011,"HBI",17.84,1
80103,"Kruse;Harder",2011-08-03,1,1,6,1,2011,"HBI",5.64,1
80103,"Kruse;Harder",2011-08-03,1,1,6,1,2011,"HBI",12.62,1
80103,"Kruse;Harder",2011-08-03,1,1,6,1,2011,"HBI",17.84,1
80104,"Kruse;Harder",2011-08-17,1,6,2,1,2011,"HBI",5.64,1
80104,"Kruse;Harder",2011-08-17,1,6,2,1,2011,"HBI",12.62,1
80104,"Kruse;Harder",2011-08-17,1,6,2,1,2011,"HBI",17.84,1
80105,"Kruse;Harder",2011-08-20,1,4,1,1,2011,"HBI",5.64,1
80105,"Kruse;Harder",2011-08-20,1,4,1,1,2011,"HBI",12.62,1
80105,"Kruse;Harder",2011-08-20,1,4,1,1,2011,"HBI",17.84,1
80106,"Kruse;Harder",2012-01-03,1,1,1,1,2012,"HBI",5.64,1
80106,"Kruse;Harder",2012-01-03,1,1,1,1,2012,"HBI",12.62,1
80106,"Kruse;Harder",2012-01-03,1,1,1,1,2012,"HBI",17.84,2
80107,"Kruse;Harder",2011-10-30,1,4,3,1,2011,"HBI",5.64,1
80107,"Kruse;Harder",2011-10-30,1,4,3,1,2011,"HBI",12.62,1
80107,"Kruse;Harder",2011-10-30,1,4,3,1,2011,"HBI",17.84,1
80108,"Kruse;Harder",2012-02-08,1,5,1,1,2012,"HBI",5.64,1
