"plot_ID","CCS_nr","CCS_position","CCS_dist","CCS_RG_inv_status","CCS_max_dist_cm","inv_year","inv"
30013,4,"w",1000,1,495,2011,"HBI"
30014,1,"n",1000,2,500,2011,"HBI"
30014,2,"o",1000,2,500,2011,"HBI"
30014,3,"s",1000,2,500,2011,"HBI"
30014,4,"w",1000,2,500,2011,"HBI"
30016,1,"n",1000,1,212,2011,"HBI"
30016,2,"o",1000,1,177,2011,"HBI"
30016,3,"s",1000,1,133,2011,"HBI"
30016,4,"w",1000,1,182,2011,"HBI"
30019,1,"n",1000,1,376,2011,"HBI"
30019,2,"o",1000,1,383,2011,"HBI"
30019,3,"s",1000,1,198,2011,"HBI"
30019,4,"w",1000,1,336,2011,"HBI"
30022,1,"n",1000,1,146,2011,"HBI"
30022,2,"o",1000,1,159,2011,"HBI"
30022,3,"s",1000,1,239,2011,"HBI"
30022,4,"w",1000,1,97,2011,"HBI"
30023,1,"n",1000,1,316,2011,"HBI"
30023,2,"o",1000,1,275,2011,"HBI"
30023,3,"s",1000,1,217,2011,"HBI"
30023,4,"w",1000,1,151,2011,"HBI"
30024,1,"n",1000,1,119,2011,"HBI"
30024,2,"o",1000,1,352,2011,"HBI"
30024,3,"s",1000,1,289,2011,"HBI"
30024,4,"w",1000,1,161,2011,"HBI"
30026,1,"n",1000,1,349,2011,"HBI"
30026,2,"o",1000,1,465,2011,"HBI"
30026,3,"s",1000,1,475,2011,"HBI"
30026,4,"w",500,1,95,2011,"HBI"
30028,1,"n",1000,1,51,2011,"HBI"
30028,2,"o",1000,1,420,2011,"HBI"
30028,3,"s",1000,1,87,2011,"HBI"
30028,4,"w",1000,1,289,2011,"HBI"
30029,1,"n",1000,1,383,2011,"HBI"
30029,2,"o",1000,1,255,2011,"HBI"
30029,3,"s",1000,1,216,2011,"HBI"
30029,4,"w",1000,1,316,2011,"HBI"
30031,1,"n",1000,2,500,2011,"HBI"
30031,2,"o",1000,2,500,2011,"HBI"
30031,3,"s",1000,2,500,2011,"HBI"
30031,4,"w",1000,1,441,2011,"HBI"
30032,1,"n",1000,1,78,2011,"HBI"
30032,2,"o",1000,1,271,2011,"HBI"
30032,3,"s",1000,1,269,2011,"HBI"
30032,4,"w",1000,1,136,2011,"HBI"
30033,1,"n",1000,1,486,2011,"HBI"
30033,2,"o",1000,1,485,2011,"HBI"
30033,3,"s",1000,1,483,2011,"HBI"
30033,4,"w",1000,1,486,2011,"HBI"
30034,1,"n",1000,1,181,2011,"HBI"
30034,2,"o",1000,1,465,2011,"HBI"
30034,3,"s",1000,1,491,2011,"HBI"
30034,4,"w",1000,1,118,2011,"HBI"
30036,1,"n",1000,2,500,2011,"HBI"
30036,2,"o",1000,2,500,2011,"HBI"
30036,3,"s",1000,1,314,2011,"HBI"
30036,4,"w",1000,2,500,2011,"HBI"
30037,1,"n",1000,1,85,2011,"HBI"
30037,2,"o",1000,1,349,2011,"HBI"
30037,3,"s",1000,1,237,2011,"HBI"
30037,4,"w",1000,1,123,2011,"HBI"
30039,1,"n",1000,1,188,2011,"HBI"
30039,2,"o",1000,1,125,2011,"HBI"
30039,3,"s",1000,1,299,2011,"HBI"
30039,4,"w",1000,1,293,2011,"HBI"
30040,1,"n",1000,1,138,2011,"HBI"
30040,2,"o",1000,1,127,2011,"HBI"
30040,3,"s",500,1,130,2011,"HBI"
30040,4,"w",1000,1,264,2011,"HBI"
30042,1,"n",1000,1,377,2011,"HBI"
30042,2,"o",1000,1,379,2011,"HBI"
30042,3,"s",1000,2,500,2011,"HBI"
30042,4,"w",1000,1,314,2011,"HBI"
30044,1,"n",1000,2,500,2011,"HBI"
30044,2,"o",1000,1,497,2011,"HBI"
30044,3,"s",1000,1,351,2011,"HBI"
30044,4,"w",1000,1,424,2011,"HBI"
30051,1,"n",1000,1,465,2011,"HBI"
30051,2,"o",1000,1,358,2011,"HBI"
30051,3,"s",1000,1,187,2011,"HBI"
30051,4,"w",1000,1,257,2011,"HBI"
30053,1,"n",1000,1,347,2011,"HBI"
30053,2,"o",1000,2,500,2011,"HBI"
30053,3,"s",1000,1,391,2011,"HBI"
30053,4,"w",1000,2,500,2011,"HBI"
30055,1,"n",1000,1,198,2011,"HBI"
30055,2,"o",1000,1,109,2011,"HBI"
30055,3,"s",1000,1,423,2011,"HBI"
30055,4,"w",1000,1,423,2011,"HBI"
30058,1,"n",1000,1,138,2011,"HBI"
30058,2,"o",1000,1,378,2011,"HBI"
30058,3,"s",1000,1,349,2011,"HBI"
30058,4,"w",1000,1,297,2011,"HBI"
30059,1,"n",500,1,139,2011,"HBI"
30059,2,"o",1000,1,130,2011,"HBI"
30059,3,"s",1000,1,276,2011,"HBI"
30059,4,"w",200,1,65,2011,"HBI"
30060,1,"n",1000,1,405,2011,"HBI"
30060,2,"o",1000,1,468,2011,"HBI"
30060,3,"s",1000,1,378,2011,"HBI"
30060,4,"w",1000,1,118,2011,"HBI"
30062,1,"n",1000,1,142,2011,"HBI"
30062,2,"o",1000,1,134,2011,"HBI"
30062,3,"s",1000,1,208,2011,"HBI"
30062,4,"w",1000,1,421,2011,"HBI"
30063,1,"n",1000,1,342,2011,"HBI"
30063,2,"o",1000,1,417,2011,"HBI"
30063,3,"s",500,1,298,2011,"HBI"
30063,4,"w",1000,1,426,2011,"HBI"
30064,1,"n",1000,1,244,2011,"HBI"
30064,2,"o",1000,1,256,2011,"HBI"
30064,3,"s",1000,1,79,2011,"HBI"
30064,4,"w",1000,1,195,2011,"HBI"
30069,1,"n",1000,1,155,2011,"HBI"
30069,2,"o",1000,1,143,2011,"HBI"
30069,3,"s",1000,1,495,2011,"HBI"
30069,4,"w",1000,1,183,2011,"HBI"
30070,1,"n",500,1,227,2011,"HBI"
30070,2,"o",1000,1,109,2011,"HBI"
30070,3,"s",1000,1,105,2011,"HBI"
30070,4,"w",1000,1,277,2011,"HBI"
30077,1,"n",1000,1,330,2011,"HBI"
30077,2,"o",1000,1,219,2011,"HBI"
30077,3,"s",1000,1,398,2011,"HBI"
30077,4,"w",1000,1,366,2011,"HBI"
30079,1,"n",1000,1,71,2011,"HBI"
30079,2,"o",1000,1,170,2011,"HBI"
30079,3,"s",1000,1,103,2011,"HBI"
30079,4,"w",1000,1,77,2011,"HBI"
30080,1,"n",1000,1,481,2011,"HBI"
30080,2,"o",1000,2,500,2011,"HBI"
30080,3,"s",300,1,363,2011,"HBI"
30080,4,"w",1000,1,431,2011,"HBI"
30081,1,"n",1000,1,418,2011,"HBI"
30081,2,"o",1000,1,241,2011,"HBI"
30081,3,"s",1000,1,212,2011,"HBI"
30081,4,"w",1000,1,244,2011,"HBI"
30083,1,"n",1000,1,485,2011,"HBI"
30083,2,"o",1000,1,498,2011,"HBI"
30083,3,"s",1000,1,291,2011,"HBI"
30083,4,"w",1000,2,500,2011,"HBI"
30086,1,"n",1000,1,487,2011,"HBI"
30086,2,"o",1000,1,459,2011,"HBI"
30086,3,"s",1000,1,123,2011,"HBI"
30086,4,"w",1000,1,482,2011,"HBI"
30088,1,"n",1000,1,461,2011,"HBI"
30088,2,"o",1000,2,500,2011,"HBI"
30088,3,"s",1000,1,489,2011,"HBI"
30088,4,"w",1000,1,155,2011,"HBI"
30089,1,"n",1000,1,212,2011,"HBI"
30089,2,"o",1000,1,490,2011,"HBI"
30089,3,"s",1000,1,498,2011,"HBI"
30089,4,"w",1000,1,428,2011,"HBI"
30094,1,"n",1000,1,317,2011,"HBI"
30094,2,"o",1000,1,318,2011,"HBI"
30094,3,"s",1000,1,290,2011,"HBI"
30094,4,"w",1000,1,178,2011,"HBI"
30098,1,"n",1000,1,343,2011,"HBI"
30098,2,"o",1000,1,264,2011,"HBI"
30098,3,"s",1000,1,274,2011,"HBI"
30098,4,"w",1000,1,309,2011,"HBI"
30099,1,"n",1000,1,181,2011,"HBI"
30099,2,"o",1000,1,107,2011,"HBI"
30099,3,"s",800,1,75,2011,"HBI"
30099,4,"w",1000,1,88,2011,"HBI"
30105,1,"n",1000,1,416,2011,"HBI"
30105,2,"o",1000,1,498,2011,"HBI"
30105,3,"s",1000,1,341,2011,"HBI"
30105,4,"w",1000,1,472,2011,"HBI"
30107,1,"n",1000,1,298,2011,"HBI"
30107,2,"o",1000,1,449,2011,"HBI"
30107,3,"s",1000,1,106,2011,"HBI"
30107,4,"w",1000,1,468,2011,"HBI"
30109,1,"n",1000,1,213,2011,"HBI"
30109,2,"o",1000,1,179,2011,"HBI"
30109,3,"s",1000,1,103,2011,"HBI"
30109,4,"w",1000,1,201,2011,"HBI"
30110,1,"n",1000,1,384,2011,"HBI"
30110,2,"o",1000,2,500,2011,"HBI"
30110,3,"s",1000,1,494,2011,"HBI"
30110,4,"w",1000,1,492,2011,"HBI"
30111,1,"n",1000,1,495,2011,"HBI"
30111,2,"o",1000,1,495,2011,"HBI"
30111,3,"s",1000,1,435,2011,"HBI"
30111,4,"w",1000,1,495,2011,"HBI"
30112,1,"n",1000,1,469,2011,"HBI"
30112,2,"o",1000,1,423,2011,"HBI"
30112,3,"s",1000,1,391,2011,"HBI"
30112,4,"w",1000,1,266,2011,"HBI"
30118,1,"n",1000,1,495,2011,"HBI"
30118,2,"o",1000,1,362,2011,"HBI"
30118,3,"s",1000,1,267,2011,"HBI"
30118,4,"w",1000,1,288,2011,"HBI"
30119,1,"n",1000,1,402,2011,"HBI"
30119,2,"o",1000,2,500,2011,"HBI"
30119,3,"s",1000,1,147,2011,"HBI"
30119,4,"w",1000,1,433,2011,"HBI"
30123,1,"n",1000,1,479,2011,"HBI"
30123,2,"o",1000,1,473,2011,"HBI"
30123,3,"s",300,1,489,2011,"HBI"
30123,4,"w",1000,2,500,2011,"HBI"
30125,1,"n",1000,1,315,2011,"HBI"
30125,2,"o",1000,1,493,2011,"HBI"
30125,3,"s",1000,1,142,2011,"HBI"
30125,4,"w",1000,1,98,2011,"HBI"
30127,1,"n",1000,1,500,2011,"HBI"
30127,2,"o",1000,1,491,2011,"HBI"
30127,3,"s",1000,2,500,2011,"HBI"
30127,4,"w",1000,1,259,2011,"HBI"
30128,1,"n",1000,1,456,2011,"HBI"
30128,2,"o",200,1,314,2011,"HBI"
30128,3,"s",200,1,368,2011,"HBI"
30128,4,"w",500,1,371,2011,"HBI"
30129,1,"n",1000,2,500,2011,"HBI"
30129,2,"o",1000,1,247,2011,"HBI"
30129,3,"s",1000,1,232,2011,"HBI"
30129,4,"w",1000,1,372,2011,"HBI"
30130,1,"n",1000,1,185,2011,"HBI"
30130,2,"o",1000,1,200,2011,"HBI"
30130,3,"s",1000,1,312,2011,"HBI"
30130,4,"w",1000,1,118,2011,"HBI"
30131,1,"n",1000,2,500,2011,"HBI"
30131,2,"o",1000,2,500,2011,"HBI"
30131,3,"s",1000,2,500,2011,"HBI"
30131,4,"w",1000,2,500,2011,"HBI"
30132,1,"n",1000,1,442,2011,"HBI"
30132,2,"o",1000,1,283,2011,"HBI"
30132,3,"s",1000,1,445,2011,"HBI"
30132,4,"w",1000,1,396,2011,"HBI"
30138,1,"n",1000,1,266,2011,"HBI"
30138,2,"o",1000,1,406,2011,"HBI"
30138,3,"s",1000,1,142,2011,"HBI"
30138,4,"w",1000,1,254,2011,"HBI"
30139,1,"n",1000,1,266,2011,"HBI"
30139,2,"o",1000,1,289,2011,"HBI"
30139,3,"s",1000,1,460,2011,"HBI"
30139,4,"w",1000,1,484,2011,"HBI"
30141,1,"n",1000,1,479,2011,"HBI"
30141,2,"o",1000,1,316,2011,"HBI"
30141,3,"s",1000,2,500,2011,"HBI"
30141,4,"w",1000,1,307,2011,"HBI"
30142,1,"n",1000,1,266,2011,"HBI"
30142,2,"o",1000,1,323,2011,"HBI"
30142,3,"s",1000,1,202,2011,"HBI"
30142,4,"w",1000,1,63,2011,"HBI"
30143,1,"n",1000,1,443,2011,"HBI"
30143,2,"o",1000,1,442,2011,"HBI"
30143,3,"s",1000,1,463,2011,"HBI"
30143,4,"w",1000,1,413,2011,"HBI"
30147,1,"n",1000,1,278,2011,"HBI"
30147,2,"o",1000,1,178,2011,"HBI"
30147,3,"s",1000,1,172,2011,"HBI"
30147,4,"w",1000,1,92,2011,"HBI"
30148,1,"n",1000,1,156,2011,"HBI"
30148,2,"o",1000,1,163,2011,"HBI"
30148,3,"s",1000,1,82,2011,"HBI"
30148,4,"w",1000,1,126,2011,"HBI"
30150,1,"n",1000,1,380,2011,"HBI"
30150,2,"o",400,1,371,2011,"HBI"
30150,3,"s",1000,1,312,2011,"HBI"
30150,4,"w",1000,1,475,2011,"HBI"
30154,1,"n",1000,1,427,2011,"HBI"
30154,2,"o",1000,1,381,2011,"HBI"
30154,3,"s",1000,1,498,2011,"HBI"
30154,4,"w",1000,1,453,2011,"HBI"
30157,1,"n",1000,1,253,2011,"HBI"
30157,2,"o",1000,1,143,2011,"HBI"
30157,3,"s",1000,1,293,2011,"HBI"
30157,4,"w",500,1,316,2011,"HBI"
30158,1,"n",1000,1,281,2011,"HBI"
30158,2,"o",1000,1,342,2011,"HBI"
30158,3,"s",1000,1,414,2011,"HBI"
30158,4,"w",1000,1,485,2011,"HBI"
30159,1,"n",400,1,216,2011,"HBI"
30159,2,"o",0,1,416,2011,"HBI"
30159,3,"s",400,1,437,2011,"HBI"
30159,4,"w",1000,1,492,2011,"HBI"
30160,1,"n",1000,1,447,2011,"HBI"
30160,2,"o",1000,1,491,2011,"HBI"
30160,3,"s",1000,1,494,2011,"HBI"
30160,4,"w",1000,1,491,2011,"HBI"
30161,1,"n",1000,1,272,2011,"HBI"
30161,2,"o",1000,1,269,2011,"HBI"
30161,3,"s",1000,1,124,2011,"HBI"
30161,4,"w",1000,1,366,2011,"HBI"
30163,1,"n",1000,1,283,2011,"HBI"
30163,2,"o",1000,1,249,2011,"HBI"
30163,3,"s",1000,1,476,2011,"HBI"
30163,4,"w",1000,1,119,2011,"HBI"
30164,1,"n",1000,1,204,2011,"HBI"
30164,2,"o",1000,1,145,2011,"HBI"
30164,3,"s",1000,1,427,2011,"HBI"
30164,4,"w",1000,1,303,2011,"HBI"
30165,1,"n",1000,1,245,2011,"HBI"
30165,2,"o",1000,1,446,2011,"HBI"
30165,3,"s",1000,1,474,2011,"HBI"
30165,4,"w",1000,1,377,2011,"HBI"
30167,1,"n",1000,1,396,2011,"HBI"
30167,2,"o",1000,2,500,2011,"HBI"
30167,3,"s",1000,2,500,2011,"HBI"
30167,4,"w",1000,1,496,2011,"HBI"
30168,1,"n",1000,1,495,2011,"HBI"
30168,2,"o",1000,1,174,2011,"HBI"
30168,3,"s",1000,1,364,2011,"HBI"
30168,4,"w",1000,1,341,2011,"HBI"
30169,1,"n",1000,1,353,2011,"HBI"
30169,2,"o",1000,1,494,2011,"HBI"
30169,3,"s",1000,1,352,2011,"HBI"
30169,4,"w",1000,1,277,2011,"HBI"
30170,1,"n",1000,1,393,2011,"HBI"
30170,2,"o",1000,1,411,2011,"HBI"
30170,3,"s",1000,1,492,2011,"HBI"
30170,4,"w",400,1,452,2011,"HBI"
30171,1,"n",1000,1,406,2011,"HBI"
30171,2,"o",1000,1,481,2011,"HBI"
30171,3,"s",1000,1,488,2011,"HBI"
30171,4,"w",1000,1,251,2011,"HBI"
30178,1,"n",700,2,500,2011,"HBI"
30178,2,"o",1000,2,500,2011,"HBI"
30178,3,"s",1000,2,500,2011,"HBI"
30178,4,"w",1000,2,500,2011,"HBI"
30179,1,"n",1000,1,475,2011,"HBI"
30179,2,"o",1000,1,468,2011,"HBI"
30179,3,"s",1000,1,494,2011,"HBI"
30179,4,"w",1000,1,472,2011,"HBI"
30182,1,"n",1000,1,485,2011,"HBI"
30182,2,"o",1000,1,497,2011,"HBI"
30182,3,"s",1000,1,422,2011,"HBI"
30182,4,"w",1000,1,241,2011,"HBI"
30186,1,"n",1000,1,395,2011,"HBI"
30186,2,"o",1000,1,486,2011,"HBI"
30186,3,"s",1000,1,459,2011,"HBI"
30186,4,"w",1000,1,293,2011,"HBI"
30188,1,"n",1000,1,452,2011,"HBI"
30188,2,"o",1000,1,406,2011,"HBI"
30188,3,"s",1000,1,441,2011,"HBI"
30188,4,"w",1000,1,278,2011,"HBI"
30191,1,"n",1000,1,485,2011,"HBI"
30191,2,"o",1000,1,341,2011,"HBI"
30191,3,"s",1000,1,493,2011,"HBI"
30191,4,"w",1000,1,485,2011,"HBI"
30192,1,"n",1000,1,169,2011,"HBI"
30192,2,"o",1000,1,276,2011,"HBI"
30192,3,"s",1000,1,95,2011,"HBI"
30192,4,"w",1000,1,178,2011,"HBI"
30501,1,"n",1000,1,412,2011,"HBI"
30501,2,"o",1000,1,465,2011,"HBI"
30501,3,"s",1000,1,262,2011,"HBI"
30501,4,"w",1000,1,476,2011,"HBI"
30502,1,"n",1000,1,431,2011,"HBI"
30502,2,"o",1000,1,364,2011,"HBI"
30502,3,"s",1000,1,476,2011,"HBI"
