"plot_ID","CCS_nr","plot_A_ha","inv_year","compartiment","B_t_ha","C_t_ha","N_t_ha"
"30131","1","0.00785398163397448","2011","bg","0","0","0"
"30131","1","0.00785398163397448","2011","total","0","0","0"
"30131","2","0.00785398163397448","2011","ag","0","0","0"
"30131","2","0.00785398163397448","2011","bg","0","0","0"
"30131","2","0.00785398163397448","2011","total","0","0","0"
"30131","3","0.00785398163397448","2011","ag","0","0","0"
"30131","3","0.00785398163397448","2011","bg","0","0","0"
"30131","3","0.00785398163397448","2011","total","0","0","0"
"30131","4","0.00785398163397448","2011","ag","0","0","0"
"30131","4","0.00785398163397448","2011","bg","0","0","0"
"30131","4","0.00785398163397448","2011","total","0","0","0"
"30141","3","0.00785398163397448","2011","ag","0","0","0"
"30141","3","0.00785398163397448","2011","bg","0","0","0"
"30141","3","0.00785398163397448","2011","total","0","0","0"
"30167","2","0.00785398163397448","2011","ag","0","0","0"
"30167","2","0.00785398163397448","2011","bg","0","0","0"
"30167","2","0.00785398163397448","2011","total","0","0","0"
"30167","3","0.00785398163397448","2011","ag","0","0","0"
"30167","3","0.00785398163397448","2011","bg","0","0","0"
"30167","3","0.00785398163397448","2011","total","0","0","0"
"30178","1","0.00785398163397448","2011","ag","0","0","0"
"30178","1","0.00785398163397448","2011","bg","0","0","0"
"30178","1","0.00785398163397448","2011","total","0","0","0"
"30178","2","0.00785398163397448","2011","ag","0","0","0"
"30178","2","0.00785398163397448","2011","bg","0","0","0"
"30178","2","0.00785398163397448","2011","total","0","0","0"
"30178","3","0.00785398163397448","2011","ag","0","0","0"
"30178","3","0.00785398163397448","2011","bg","0","0","0"
"30178","3","0.00785398163397448","2011","total","0","0","0"
"30178","4","0.00785398163397448","2011","ag","0","0","0"
"30178","4","0.00785398163397448","2011","bg","0","0","0"
"30178","4","0.00785398163397448","2011","total","0","0","0"
"30510","2","0.00785398163397448","2011","ag","0","0","0"
"30510","2","0.00785398163397448","2011","bg","0","0","0"
"30510","2","0.00785398163397448","2011","total","0","0","0"
"30510","3","0.00785398163397448","2011","ag","0","0","0"
"30510","3","0.00785398163397448","2011","bg","0","0","0"
"30510","3","0.00785398163397448","2011","total","0","0","0"
"30523","1","0.00785398163397448","2011","ag","0","0","0"
"30523","1","0.00785398163397448","2011","bg","0","0","0"
"30523","1","0.00785398163397448","2011","total","0","0","0"
"30523","2","0.00785398163397448","2011","ag","0","0","0"
"30523","2","0.00785398163397448","2011","bg","0","0","0"
"30523","2","0.00785398163397448","2011","total","0","0","0"
"30523","3","0.00785398163397448","2011","ag","0","0","0"
"30523","3","0.00785398163397448","2011","bg","0","0","0"
"30523","3","0.00785398163397448","2011","total","0","0","0"
"30523","4","0.00785398163397448","2011","ag","0","0","0"
"30523","4","0.00785398163397448","2011","bg","0","0","0"
"30523","4","0.00785398163397448","2011","total","0","0","0"
"30606","1","0.00785398163397448","2011","ag","0","0","0"
"30606","1","0.00785398163397448","2011","bg","0","0","0"
"30606","1","0.00785398163397448","2011","total","0","0","0"
"30606","2","0.00785398163397448","2011","ag","0","0","0"
"30606","2","0.00785398163397448","2011","bg","0","0","0"
"30606","2","0.00785398163397448","2011","total","0","0","0"
"30606","3","0.00785398163397448","2011","ag","0","0","0"
"30606","3","0.00785398163397448","2011","bg","0","0","0"
"30606","3","0.00785398163397448","2011","total","0","0","0"
"30606","4","0.00785398163397448","2011","ag","0","0","0"
"30606","4","0.00785398163397448","2011","bg","0","0","0"
"30606","4","0.00785398163397448","2011","total","0","0","0"
"30612","1","0.00785398163397448","2011","ag","0","0","0"
"30612","1","0.00785398163397448","2011","bg","0","0","0"
"30612","1","0.00785398163397448","2011","total","0","0","0"
"30612","2","0.00785398163397448","2011","ag","0","0","0"
"30612","2","0.00785398163397448","2011","bg","0","0","0"
"30612","2","0.00785398163397448","2011","total","0","0","0"
"30612","3","0.00785398163397448","2011","ag","0","0","0"
"30612","3","0.00785398163397448","2011","bg","0","0","0"
"30612","3","0.00785398163397448","2011","total","0","0","0"
"30612","4","0.00785398163397448","2011","ag","0","0","0"
"30612","4","0.00785398163397448","2011","bg","0","0","0"
"30612","4","0.00785398163397448","2011","total","0","0","0"
"30613","4","0.00785398163397448","2011","ag","0","0","0"
"30613","4","0.00785398163397448","2011","bg","0","0","0"
"30613","4","0.00785398163397448","2011","total","0","0","0"
"30618","1","0.00785398163397448","2011","ag","0","0","0"
"30618","1","0.00785398163397448","2011","bg","0","0","0"
"30618","1","0.00785398163397448","2011","total","0","0","0"
"30618","3","0.00785398163397448","2011","ag","0","0","0"
"30618","3","0.00785398163397448","2011","bg","0","0","0"
"30618","3","0.00785398163397448","2011","total","0","0","0"
