"bfhnr_2","bfhnr_1","erhebjahr_1","erhebjahr_2","bestandestyp_2","besttyp_2d","humusform_2","agghu_typ_2","eu_humusform","bodentyp_2","bodentypgr_2","bodenklasse_2","podsoligkeit_2","gruendigkeit_2","wrb","min_org"
20001,2001,1992,2007,-1,"Merkmal wurde nicht erhoben. Obl: Fehler; Fak: Warnung.","MUO","MU",1,"SS","SS","S","p2",220,NA,"min"
20002,2002,1992,2007,-1,"Merkmal wurde nicht erhoben. Obl: Fehler; Fak: Warnung.","MOA","MOT",-9,"BB","BB","B","p2",210,NA,"min"
30001,3001,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",-9,"SS-BB","BB","B","p2",100,"-1/-1/-1/-1/-1","min"
30002,3002,1990,2007,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","MUT","MU",-9,"CF-LL","LL","L","p1",100,"-1/-1/-1/-1/-1","min"
30004,3004,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUT","MU",-9,"CF-RR","RR","R","p1",100,"-1/-1/-1/-1/-1","min"
30006,3006,1990,2007,5,"Eichen(rein)bestand (>= 70 % Eiche)","MUO","MU",-9,"BB-DD","DD","D","p1",150,"-1/-1/-1/-1/-1","min"
30007,3007,1990,2007,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MOM","MOM",-9,"LL","LL","L","p1",140,"-1/-1/-1/-1/-1","min"
30008,3008,1991,2007,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","MUT","MU",-9,"RR","RR","R","p1",40,"-1/-1/-1/-1/-1","min"
30009,3009,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",-9,"BB","BB","B","p1",135,"-1/-1/-1/-1/-1","min"
30013,3013,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM",-9,"YK-LL","LL","L","p1",120,"-1/-1/-1/-1/-1","min"
30014,3014,1991,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT",2,"BB","BB","B","p2",135,NA,"min"
30016,3016,1991,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT",-9,"BB","BB","B","p4",120,"-1/-1/-1/-1/-1","min"
30019,3019,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",-9,"CF-LL","LL","L","p1",100,"-1/-1/-1/-1/-1","min"
30022,3022,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM",-9,"BB","BB","B","p2",140,"-1/-1/-1/-1/-1","min"
30023,3023,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM",-9,"BB","BB","B","p2",85,"-1/-1/-1/-1/-1","min"
30024,3024,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM",2,"SS","SS","S","p2",100,NA,"min"
30026,3026,1990,2007,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","MOM","MOM",-9,"LL-BB","BB","B","p2",115,"-1/-1/-1/-1/-1","min"
30028,3028,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM",-9,"BB-LL","LL","L","p1",140,"-1/-1/-1/-1/-1","min"
30029,3029,1990,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","GMO","MOT",2,"BB-RN","RN","R","p4",85,NA,"min"
30031,3031,1990,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","GMO","MOT",2,"BB","BB","B","p3",110,NA,"min"
30032,3032,1990,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT",2,"BB","BB","B","p3",90,NA,"min"
30033,3033,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOR","MOT",-9,"BB-RN","RN","R","p1",95,"-1/-1/-1/-1/-1","min"
30034,3034,1990,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","ROA","RO",3,"PP","PP","P","-9",85,NA,"min"
30036,3036,1990,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT",-9,"BB","BB","B","p3",90,"-1/-1/-1/-1/-1","min"
30037,3037,1990,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","GMO","MOT",-9,"BB","BB","B","p4",90,"-1/-1/-1/-1/-1","min"
30039,3039,1990,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOF","MOF",-9,"YK-GG","GG","G","p1",115,"-1/-1/-1/-1/-1","min"
30040,3040,1990,2007,7,"Nadelholzreiche Laubholzmischbestände (> 30 % Nadelholz)","MOA","MOT",-9,"BB","BB","B","p3",120,"-1/-1/-1/-1/-1","min"
30042,3042,1990,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT",2,"BB","BB","B","p1",150,NA,"min"
30044,3044,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOA","MOT",-9,"BB","BB","B","p3",100,"-1/-1/-1/-1/-1","min"
30051,3051,1991,2007,5,"Eichen(rein)bestand (>= 70 % Eiche)","MUO","MU",-9,"LL","LL","L","p1",130,"-1/-1/-1/-1/-1","min"
30053,3053,1991,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT",-9,"LL-BB","BB","B","p2",140,"-1/-1/-1/-1/-1","min"
30055,3055,1991,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM",2,"LL-BB","BB","B","p1",120,NA,"min"
30058,3058,1991,2007,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MUT","MU",-9,"BB","BB","B","p1",85,"-1/-1/-1/-1/-1","min"
30059,3059,1991,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUT","MU",-9,"RR","RR","R","p1",55,"-1/-1/-1/-1/-1","min"
30060,3060,1991,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM",2,"BB","BB","B","p2",120,NA,"min"
30062,3062,1990,2007,7,"Nadelholzreiche Laubholzmischbestände (> 30 % Nadelholz)","MOR","MOT",-9,"PP","PP","P","-9",85,"-1/-1/-1/-1/-1","min"
30063,3063,1991,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT",-9,"PP-SS","SS","S","-9",120,"-1/-1/-1/-1/-1","min"
30064,3064,1991,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",-9,"RR","RR","R","p1",30,"-1/-1/-1/-1/-1","min"
30069,3069,1991,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM",-9,"BB","BB","B","p1",135,"-1/-1/-1/-1/-1","min"
30070,3070,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",1,"CF-LL","LL","L","p1",90,NA,"min"
30077,3077,1991,2007,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MOA","MOT",-9,"BB","BB","B","p1",140,"-1/-1/-1/-1/-1","min"
30079,3079,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",-9,"LL-TT","TT","T","p2",140,"-1/-1/-1/-1/-1","min"
30080,3080,1990,2007,5,"Eichen(rein)bestand (>= 70 % Eiche)","MUO","MU",-9,"BB","BB","B","p1",90,"-1/-1/-1/-1/-1","min"
30081,3081,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",-9,"LL-CF","CF","C","p1",90,"-1/-1/-1/-1/-1","min"
30083,3083,1990,2007,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MOA","MOT",-9,"LF-LL","LL","L","p2",125,"-1/-1/-1/-1/-1","min"
30086,3086,1991,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU",-9,"BB","BB","B","p1",135,"-1/-1/-1/-1/-1","min"
30088,3088,1990,2006,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","MOR","MOT",-9,"SS-PP","PP","P","p1",150,"-1/-1/-1/-1/-1","min"
30089,3089,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT",-9,"PP-BB","BB","B","-9",200,"-1/-1/-1/-1/-1","min"
30094,3094,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MRR","MR",-9,"PP","PP","P","-9",140,"-1/-1/-1/-1/-1","min"
30098,3098,1990,2007,7,"Nadelholzreiche Laubholzmischbestände (> 30 % Nadelholz)","MUO","MU",-9,"GG-BB","BB","B","p1",160,"-1/-1/-1/-1/-1","min"
30099,3099,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT",2,"PP-BB","BB","B","-9",200,NA,"min"
30105,3105,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOA","MOT",2,"BB-LL","LL","L","p2",200,NA,"min"
30107,3107,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MRR","MR",-9,"BB-PP","PP","P","-9",190,"-1/-1/-1/-1/-1","min"
30109,3109,1990,2007,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","MUO","MU",-9,"SS","SS","S","p1",160,"-1/-1/-1/-1/-1","min"
30110,3110,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT",-9,"YU","YU","Y","p1",180,"-1/-1/-1/-1/-1","min"
30111,3111,1990,2007,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","MOA","MOT",-9,"LL-BB","BB","B","p2",180,"-1/-1/-1/-1/-1","min"
30112,3112,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT",-9,"PP-BB","BB","B","-9",200,"-1/-1/-1/-1/-1","min"
30118,3118,1991,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","GMO","MOT",-9,"GG-BB","BB","B","p2",200,"-1/-1/-1/-1/-1","min"
30119,3119,1991,2007,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MOA","MOT",-9,"SS-GG","GG","G","p2",140,"-1/-1/-1/-1/-1","min"
30123,3123,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MRA","MR",-9,"YE-HN","HN","H","p2",80,"-1/-1/-1/-1/-1","org"
30125,3125,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","GMO","MOT",2,"BB-PP","PP","P","-9",190,NA,"min"
30127,3127,1990,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","ROR","RO",-9,"BB-PP","PP","P","-9",200,"-1/-1/-1/-1/-1","min"
30128,3128,1990,2006,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","MOR","MOT",-9,"PP","PP","P","-9",200,"-1/-1/-1/-1/-1","min"
30129,3129,1990,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT",-9,"BB-YU","YU","Y","p1",200,"-1/-1/-1/-1/-1","min"
30130,3130,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","GMO","MOT",-9,"PP","PP","P","-9",180,"-1/-1/-1/-1/-1","min"
30131,3131,1991,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MRR","MR",-9,"SS-PP","PP","P","-9",150,"-1/-1/-1/-1/-1","min"
30132,3132,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MRR","MR",-9,"BB-PP","PP","P","-9",200,"-1/-1/-1/-1/-1","min"
30138,3138,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","ROR","RO",-9,"GG-PP","PP","P","-9",170,"-1/-1/-1/-1/-1","min"
30139,3139,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","GMO","MOT",2,"BB-PP","PP","P","-9",NA,"-1/-9/-1/-1/-1","min"
30141,3141,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT",-9,"PP","PP","P","-9",200,"-1/-1/-1/-1/-1","min"
30142,3142,1990,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT",-9,"BB-PP","PP","P","-9",170,"-1/-1/-1/-1/-1","min"
30143,3143,1991,2006,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","-1","-1",-1,"-1","-1","-1",NA,NA,"-1/-1/-1/-1/-1","min"
30147,3147,1991,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT",-9,"BB-PP","PP","P","-9",200,"-1/-1/-1/-1/-1","min"
30148,3148,1990,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MRR","MR",-9,"GM","GM","G","p1",75,"-1/-1/-1/-1/-1","org"
30150,3150,1990,2006,7,"Nadelholzreiche Laubholzmischbestände (> 30 % Nadelholz)","MOA","MOT",-9,"BB-GG","GG","G","p3",160,"-1/-1/-1/-1/-1","min"
30154,3154,1991,2006,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MOA","MOT",-9,"BB","BB","B","p2",180,"-1/-1/-1/-1/-1","min"
30157,3157,1991,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT",-9,"GG","GG","G","p2",100,"-1/-1/-1/-1/-1","min"
30158,3158,1991,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT",-9,"BB-RQ","RQ","R","p3",200,"-1/-1/-1/-1/-1","min"
30159,3159,1991,2007,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","GMO","MOT",-9,"GG-BB","BB","B","p3",180,"-1/-1/-1/-1/-1","min"
30160,3160,1991,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MRR","MR",-9,"GG-PP","PP","P","-9",170,"-1/-1/-1/-1/-1","min"
30161,3161,1991,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT",-9,"SS","SS","S","p1",NA,"-1/-1/-1/-1/-1","min"
30163,3163,1991,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT",-9,"BB","BB","B","p2",160,"-1/-1/-1/-1/-1","min"
30164,3164,1991,2007,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MOR","MOT",-9,"LL-SS","SS","S","p2",200,"-1/-1/-1/-1/-1","min"
30165,3165,1991,2007,5,"Eichen(rein)bestand (>= 70 % Eiche)","MUO","MU",-9,"SS-GG","GG","G","p1",180,"-1/-1/-1/-1/-1","min"
30167,3167,1991,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT",2,"PP","PP","P","-9",160,NA,"min"
30168,3168,1991,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","ROR","RO",-9,"SS","SS","S","p1",90,"-1/-1/-1/-1/-1","min"
30169,3169,1990,2007,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","MOF","MOF",-9,"GH","GH","G","p1",90,"-1/-1/-1/-1/-1","org"
30170,3170,1991,2007,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","MUO","MU",-9,"DD-SS","SS","S","p1",90,"-1/-1/-1/-1/-1","min"
30171,3171,1991,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","ROA","RO",3,"GG","GG","G","p3",120,NA,"min"
30178,3178,1991,2007,5,"Eichen(rein)bestand (>= 70 % Eiche)","MOM","MOM",-9,"GG-YE","YE","Y","p1",180,"-1/-1/-1/-1/-1","min"
30179,3179,1991,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MRR","MR",-9,"PP-BB","BB","B","-9",190,"-1/-1/-1/-1/-1","min"
30182,3182,1991,2006,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","GMO","MOT",-9,"PP","PP","P","-9",185,"-1/-1/-1/-1/-1","min"
30186,3186,1991,2007,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MOF","MOF",6,"SS","SS","S","p1",NA,NA,"min"
30188,3188,1991,2006,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MOA","MOT",2,"PP","PP","P","-9",200,NA,"min"
30191,3191,1991,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOA","MOT",-9,"GG-BB","BB","B","-9",180,"-1/-1/-1/-1/-1","min"
30192,3192,1991,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","ROR","RO",-9,"GG-PP","PP","P","-9",180,"-1/-1/-1/-1/-1","min"
30501,3501,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT",2,"PP-BB","BB","B","-9",200,NA,"min"
30502,3502,1991,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MUO","MU",1,"PP","PP","P","-9",180,NA,"min"
30503,3503,1991,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MUO","MU",1,"PP-BB","BB","B","-9",180,NA,"min"
30504,3504,1991,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","GMO","MOT",2,"PP-YU","YU","Y","-9",190,NA,"min"
30505,3505,1991,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT",2,"BB-PP","PP","P","-9",200,NA,"min"
30506,3506,1991,2007,5,"Eichen(rein)bestand (>= 70 % Eiche)","MOR","MOT",2,"BB-GG","GG","G","p3",130,NA,"min"
30507,3507,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MRR","MR",2,"BB-PP","PP","P","-9",200,NA,"min"
30508,3508,1991,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT",2,"SS-PP","PP","P","-9",190,NA,"min"
30509,3509,1990,2007,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","MRR","MR",2,"GG-PP","PP","P","-9",140,NA,"min"
30510,3510,1991,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT",2,"LL-BB","BB","B","p4",140,NA,"min"
30511,3511,1991,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOA","MOT",2,"BB","BB","B","p2",160,NA,"min"
30512,3512,1991,2007,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","MUO","MU",1,"SS","SS","S","p1",110,NA,"min"
30513,3513,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT",2,"PP-YK","YK","Y","-9",190,NA,"min"
30514,3514,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MRR","MR",2,"BB-PP","PP","P","-9",200,NA,"min"
30515,3515,-2,2007,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MOA","MOT",2,"DD-BB","BB","B","p2",100,NA,"min"
30516,NA,-2,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOA","MOT",2,"BB-PP","PP","P","-9",200,NA,"min"
30517,NA,-2,2007,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","MUT","MU",1,"YK","YK","Y","p1",200,NA,"min"
30518,NA,-2,2007,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","MOF","MOF",6,"KV","KV","K","p1",110,NA,"org"
30519,NA,-2,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOA","MOT",2,"LF","LF","L","p1",170,NA,"min"
30520,NA,-2,2007,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","MUT","MU",1,"YU","YU","Y","p1",130,NA,"min"
30521,3521,-2,2007,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","MOF","MOF",6,"GH","GH","G","p1",90,NA,"org"
30522,3522,-2,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM",2,"DD-SS","SS","S","p1",95,NA,"min"
30523,3523,-2,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","GMO","MOT",2,"BB-RQ","RQ","R","p2",200,NA,"min"
30601,NA,-2,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM",-9,"LL-BB","BB","B","p2",140,"-1/-1/-1/-1/-1","min"
30602,NA,-2,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","AMO","AMO",-9,"SS","SS","S","p1",110,"-1/-1/-1/-1/-1","min"
30603,NA,-2,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT",-9,"RN-BB","BB","B","p1",100,"-1/-1/-1/-1/-1","min"
30604,NA,-2,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM",-9,"BB","BB","B","p1",100,"-1/-1/-1/-1/-1","min"
30605,NA,-2,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOR","MOT",-9,"BB","BB","B","p2",120,"-1/-1/-1/-1/-1","min"
30606,NA,-2,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOR","MOT",-9,"BB","BB","B","p3",100,"-1/-1/-1/-1/-1","min"
30607,NA,-2,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT",-9,"LL","LL","L","p3",120,"-1/-1/-1/-1/-1","min"
30608,NA,-2,2007,5,"Eichen(rein)bestand (>= 70 % Eiche)","MUO","MU",-9,"BB","BB","B","p1",130,"-1/-1/-1/-1/-1","min"
30609,NA,-2,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUT","MU",-9,"BB-CF","CF","C","p1",120,"-1/-1/-1/-1/-1","min"
