"plot_ID","e_ID","e_type","e_form","A_dist","A_azi","B_dist","B_azi","T_dist","T_azi","inv_year","inv"
150016,1,2,1,2153,2196,-2,231,265,-2,2012,"HBI"
150017,1,4,1,1355,1185,-2,256,317,-2,2012,"HBI"
150022,1,1,1,2300,2450,-2,315,370,-2,2011,"HBI"
150032,1,1,1,2000,2050,-2,160,107,-2,2011,"HBI"
150050,1,1,1,2250,2700,-2,395,40,-2,2011,"HBI"
150501,1,4,1,1954,1339,-2,316,396,-2,2012,"HBI"
150502,1,2,1,950,929,-2,157,28,-2,2012,"HBI"
150505,1,3,1,1685,1234,-2,237,307,-2,2012,"HBI"
150507,1,2,2,2520,2820,2230,247,273,273,2012,"HBI"
150507,2,4,1,1300,1430,-2,251,319,-2,2012,"HBI"
150508,1,4,1,1272,1653,-2,262,302,-2,2012,"HBI"
160003,1,1,1,1745,1445,-2,182,253,-2,2012,"HBI"
160008,1,3,2,1531,2408,1544,341,84,61,2012,"HBI"
160017,1,1,1,1919,1877,-2,162,212,-2,2011,"HBI"
160027,1,2,1,2301,2489,-2,75,114,-2,2011,"HBI"
160030,1,3,2,1728,1788,678,287,385,386,2011,"HBI"
160032,1,1,1,2097,2196,-2,291,216,-2,2012,"HBI"
160036,1,1,1,1803,1411,-2,179,223,-2,2011,"HBI"
160036,2,1,1,2496,2249,-2,82,35,-2,2011,"HBI"
160037,1,1,1,2902,2603,-2,149,186,-2,2011,"HBI"
160041,1,3,1,1654,1253,-2,34,367,-2,2011,"HBI"
160042,1,2,1,1695,2073,-2,238,293,-2,2011,"HBI"
160043,1,2,1,1669,1748,-2,233,278,-2,2011,"HBI"
160044,1,1,1,2830,3320,-2,150,124,-2,2011,"HBI"
160045,1,1,1,2835,2768,-2,351,387,-2,2011,"HBI"
160046,1,3,1,1507,1034,-2,235,314,-2,2011,"HBI"
160048,1,1,2,2692,2151,2632,249,359,284,2012,"HBI"
160049,1,1,2,2184,2110,2655,211,338,264,2012,"HBI"
160056,1,1,2,1957,1340,2011,357,17,395,2011,"HBI"
160065,1,2,1,2547,2238,-2,397,47,-2,2011,"HBI"
160068,1,1,2,1520,2149,1473,13,282,340,2011,"HBI"
160068,2,1,1,2248,2517,-2,253,223,-2,2011,"HBI"
160070,1,3,1,1652,1642,-2,229,319,-2,2012,"HBI"
160073,1,2,1,2279,2034,-2,65,93,-2,2011,"HBI"
160077,1,1,1,1857,2238,-2,222,269,-2,2011,"HBI"
160081,1,3,1,2891,2474,-2,318,383,-2,2012,"HBI"
160086,1,3,1,2480,2510,-2,11,64,-2,2011,"HBI"
160086,2,3,1,1723,882,-2,177,242,-2,2011,"HBI"
160087,1,3,1,1736,1841,-2,56,16,-2,2011,"HBI"
160087,2,3,1,1178,1469,-2,205,274,-2,2011,"HBI"
160090,1,1,1,2922,3120,-2,280,240,-2,2011,"HBI"
160091,1,3,1,1831,1465,-2,26,79,-2,2011,"HBI"
160093,1,3,1,2335,2704,-2,31,73,-2,2011,"HBI"
160097,1,1,1,2697,2691,-2,391,21,-2,2012,"HBI"
