"plot_ID","e_ID","e_form","X","Y","CCS_r_m","stand"
10005,1,1,17.6203599962173,-2.79079085631772,17.84,"B"
10005,1,1,17.4501531970911,-3.70914456418882,17.84,"B"
10005,1,1,17.232116740997,-4.61733176462897,17.84,"B"
10005,1,1,16.9668482507055,-5.51286317964906,17.84,"B"
10005,1,1,16.6550748087101,-6.39328421988815,17.84,"B"
10005,1,1,16.297650964344,-7.25618171247227,17.84,"B"
10005,1,1,15.8955563915205,-8.09919051535351,17.84,"B"
10005,1,1,15.4498932035144,-8.91999999999999,17.84,"B"
10005,1,1,14.9618829321464,-9.71636038466808,17.84,"B"
10005,1,1,14.4328631796491,-10.4860889008977,17.84,"B"
10005,1,1,13.8642839523924,-11.2270757763291,17.84,"B"
10005,1,1,13.2577036865167,-11.937290017442,17.84,"B"
10005,1,1,12.614784976368,-12.614784976368,17.84,"B"
10005,1,1,11.937290017442,-13.2577036865167,17.84,"B"
10005,1,1,11.2270757763291,-13.8642839523924,17.84,"B"
10005,1,1,10.4860889008977,-14.4328631796491,17.84,"B"
10005,1,1,9.71636038466809,-14.9618829321464,17.84,"B"
10005,1,1,8.92000000000002,-15.4498932035144,17.84,"B"
10005,1,1,8.09919051535353,-15.8955563915205,17.84,"B"
10005,1,1,7.2561817124723,-16.297650964344,17.84,"B"
10005,1,1,6.39328421988818,-16.6550748087101,17.84,"B"
10005,1,1,5.51286317964909,-16.9668482507055,17.84,"B"
10005,1,1,4.617331764629,-17.232116740997,17.84,"B"
10005,1,1,3.70914456418886,-17.4501531970911,17.84,"B"
10005,1,1,2.79079085631775,-17.6203599962173,17.84,"B"
10005,1,1,1.86478778469498,-17.74227061337,17.84,"B"
10005,1,1,0.93367345937416,-17.8155509000216,17.84,"B"
10005,1,1,4.46664182153276e-14,-17.84,17.84,"B"
10005,1,1,-0.933673459374071,-17.8155509000216,17.84,"B"
10005,1,1,-1.86478778469489,-17.74227061337,17.84,"B"
10005,1,1,-2.79079085631767,-17.6203599962173,17.84,"B"
10005,1,1,-3.70914456418877,-17.4501531970911,17.84,"B"
10005,1,1,-4.61733176462891,-17.232116740997,17.84,"B"
10005,1,1,-5.512863179649,-16.9668482507056,17.84,"B"
10005,1,1,-6.3932842198881,-16.6550748087101,17.84,"B"
10005,1,1,-6.82366579589406,-16.4768049229329,17.84,"B"
10005,1,1,6.82482549370611,16.4763245603709,17.84,"B"
10005,1,1,7.25618171247222,16.297650964344,17.84,"B"
10005,1,1,8.09919051535347,15.8955563915205,17.84,"B"
10005,1,1,8.91999999999996,15.4498932035144,17.84,"B"
10005,1,1,9.71636038466805,14.9618829321464,17.84,"B"
10005,1,1,10.4860889008977,14.4328631796491,17.84,"B"
10005,1,1,11.2270757763291,13.8642839523924,17.84,"B"
10005,1,1,11.937290017442,13.2577036865167,17.84,"B"
10005,1,1,12.614784976368,12.614784976368,17.84,"B"
10005,1,1,13.2577036865167,11.937290017442,17.84,"B"
10005,1,1,13.8642839523924,11.2270757763291,17.84,"B"
10005,1,1,14.4328631796491,10.4860889008977,17.84,"B"
10005,1,1,14.9618829321464,9.71636038466808,17.84,"B"
10005,1,1,15.4498932035144,8.91999999999999,17.84,"B"
10005,1,1,15.8955563915205,8.0991905153535,17.84,"B"
10005,1,1,16.297650964344,7.25618171247226,17.84,"B"
10005,1,1,16.6550748087101,6.39328421988814,17.84,"B"
10005,1,1,16.9668482507055,5.51286317964904,17.84,"B"
10005,1,1,17.232116740997,4.61733176462894,17.84,"B"
10005,1,1,17.4501531970911,3.70914456418879,17.84,"B"
10005,1,1,17.6203599962173,2.79079085631768,17.84,"B"
10005,1,1,17.74227061337,1.86478778469489,17.84,"B"
10005,1,1,17.8155509000216,0.933673459374064,17.84,"B"
10005,1,1,17.84,0,17.84,"B"
10013,1,1,17.84,0,17.84,"B"
10013,1,1,17.8155509000216,-0.933673459374117,17.84,"B"
10013,1,1,17.74227061337,-1.86478778469494,17.84,"B"
10013,1,1,17.6203599962173,-2.79079085631772,17.84,"B"
10013,1,1,17.4501531970911,-3.70914456418882,17.84,"B"
10013,1,1,17.232116740997,-4.61733176462897,17.84,"B"
10013,1,1,16.9668482507055,-5.51286317964906,17.84,"B"
10013,1,1,16.6550748087101,-6.39328421988815,17.84,"B"
10013,1,1,16.297650964344,-7.25618171247227,17.84,"B"
10013,1,1,15.8955563915205,-8.09919051535351,17.84,"B"
10013,1,1,15.4498932035144,-8.91999999999999,17.84,"B"
10013,1,1,14.9618829321464,-9.71636038466808,17.84,"B"
10013,1,1,14.4328631796491,-10.4860889008977,17.84,"B"
10013,1,1,13.8642839523924,-11.2270757763291,17.84,"B"
10013,1,1,13.2577036865167,-11.937290017442,17.84,"B"
10013,1,1,12.614784976368,-12.614784976368,17.84,"B"
10013,1,1,11.937290017442,-13.2577036865167,17.84,"B"
10013,1,1,11.2270757763291,-13.8642839523924,17.84,"B"
10013,1,1,10.4860889008977,-14.4328631796491,17.84,"B"
10013,1,1,9.71636038466809,-14.9618829321464,17.84,"B"
10013,1,1,8.92000000000002,-15.4498932035144,17.84,"B"
10013,1,1,8.09919051535353,-15.8955563915205,17.84,"B"
10013,1,1,7.2561817124723,-16.297650964344,17.84,"B"
10013,1,1,6.39328421988818,-16.6550748087101,17.84,"B"
10013,1,1,5.51286317964909,-16.9668482507055,17.84,"B"
10013,1,1,4.617331764629,-17.232116740997,17.84,"B"
10013,1,1,3.70914456418886,-17.4501531970911,17.84,"B"
10013,1,1,2.79079085631775,-17.6203599962173,17.84,"B"
10013,1,1,1.86478778469498,-17.74227061337,17.84,"B"
10013,1,1,0.93367345937416,-17.8155509000216,17.84,"B"
10013,1,1,4.46664182153276e-14,-17.84,17.84,"B"
10013,1,1,-0.933673459374071,-17.8155509000216,17.84,"B"
10013,1,1,-1.86478778469489,-17.74227061337,17.84,"B"
10013,1,1,-2.79079085631767,-17.6203599962173,17.84,"B"
10013,1,1,-3.70914456418877,-17.4501531970911,17.84,"B"
10013,1,1,-4.61733176462891,-17.232116740997,17.84,"B"
10013,1,1,-5.512863179649,-16.9668482507056,17.84,"B"
10013,1,1,-6.3932842198881,-16.6550748087101,17.84,"B"
10013,1,1,-7.05299778433876,-16.3818125030331,17.84,"B"
10013,1,1,7.08892929605507,16.3669291835637,17.84,"B"
10013,1,1,7.25618171247222,16.297650964344,17.84,"B"
10013,1,1,8.09919051535347,15.8955563915205,17.84,"B"
