"stand_type","compartiment","stand_component","inv","B_t_ha","C_t_ha","N_t_ha","BA_m2_ha","n_ha","n_SP","plot_ID","stand","dom_SP","SP_code"
"2","ag","all","momok",96.4522306541051,48.2261153270526,0.156071021146401,NA,NA,NA,"all","all","all","all"
"2","bg","DW","HBI",0,0,0,NA,151.681830873574,NA,"all","all","all","all"
"2","bg","LT","HBI",17.2481936817429,8.62409684087144,0.0328269404028266,20.6976709510899,721.836969066418,2.16091954022989,"all","all","all","all"
"2","bg","LT","momok",11.9655535359828,5.98277676799138,0.0212254918457774,18.9217737925111,897.160766193767,1.44444444444444,"all","all","all","all"
"2","bg","RG","HBI",0.0972431286298925,0.0486215643149462,0.000261762935141464,NA,3006.85732109271,3.5632183908046,"all","all","all","all"
"2","bg","RG","momok",NA,NA,NA,NA,2472.61201662895,2.75,"all","all","all","all"
"2","bg","all","HBI",29.1174969403308,14.5587484701654,0.0546214472939222,NA,NA,NA,"all","all","all","all"
"2","bg","all","momok",18.3048301271641,9.15241506358205,0.0324369931090418,NA,NA,NA,"all","all","all","all"
"2","fwb","DW","HBI",0.673363894065976,0.336681947032988,0.00296498580413975,NA,151.681830873574,NA,"all","all","all","all"
"2","fwb","DW","momok",3.02040091671316,1.51020045835658,0.0138968646177973,NA,155.377012286353,NA,"all","all","all","all"
"2","fwb","LT","HBI",11.7003950742172,5.8501975371086,0.0507829996945164,20.6976709510899,721.836969066418,2.16091954022989,"all","all","all","all"
"2","fwb","LT","momok",10.5157891481419,5.25789457407094,0.0428876775731712,18.9217737925111,897.160766193767,1.44444444444444,"all","all","all","all"
"2","fwb","RG","HBI",1.61110585965505,0.805552929827525,0.00825782758009142,NA,3006.85732109271,3.5632183908046,"all","all","all","all"
"2","fwb","RG","momok",NA,NA,NA,NA,2472.61201662895,2.75,"all","all","all","all"
"2","ndl","LT","HBI",3.64980196453659,1.82490098226829,0,20.6976709510899,721.836969066418,2.16091954022989,"all","all","all","all"
"2","ndl","LT","momok",4.88365379642677,2.44182689821339,0,18.9217737925111,897.160766193767,1.44444444444444,"all","all","all","all"
"2","ndl","RG","HBI",0.0760922093024419,0.038046104651221,0,NA,3006.85732109271,3.5632183908046,"all","all","all","all"
"2","ndl","RG","momok",NA,NA,0,NA,2472.61201662895,2.75,"all","all","all","all"
"2","sb","DW","HBI",0.276789102645712,0.138394551322856,0.00137807343837979,NA,151.681830873574,NA,"all","all","all","all"
"2","sb","DW","momok",0.228222604336527,0.114111302168263,0.00164936476154008,NA,155.377012286353,NA,"all","all","all","all"
"2","sb","LT","HBI",6.80145672159427,3.40072836079713,0.0308972096350547,20.6976709510899,721.836969066418,2.16091954022989,"all","all","all","all"
"2","sb","LT","momok",3.9051244166525,1.95256220832625,0.0169639835069365,18.9217737925111,897.160766193767,1.44444444444444,"all","all","all","all"
"2","stb","DW","HBI",0.0277461970682997,0.0138730985341498,0.000136562482668751,NA,151.681830873574,NA,"all","all","all","all"
"2","stb","DW","momok",0.00774218768089652,0.00387109384044826,5.59527903698391e-05,NA,155.377012286353,NA,"all","all","all","all"
"2","stb","LT","HBI",0.237693538399474,0.118846769199737,0.00107123580069049,20.6976709510899,721.836969066418,2.16091954022989,"all","all","all","all"
"2","stb","LT","momok",0.128060211939995,0.0640301059699977,0.000556311006098568,18.9217737925111,897.160766193767,1.44444444444444,"all","all","all","all"
"2","stw","DW","HBI",0.317610112984595,0.158805056492298,0.000265967895494996,NA,151.681830873574,NA,"all","all","all","all"
"2","stw","DW","momok",0.113744445036388,0.0568722225181942,0.000151848834123579,NA,155.377012286353,NA,"all","all","all","all"
"2","stw","LT","HBI",2.31084482530292,1.15542241265146,0.00200094373162903,20.6976709510899,721.836969066418,2.16091954022989,"all","all","all","all"
"2","stw","LT","momok",1.20344147241347,0.601720736206736,0.000958487907534456,18.9217737925111,897.160766193767,1.44444444444444,"all","all","all","all"
"2","sw","DW","HBI",2.54953072933178,1.27476536466589,0.00217589919920065,NA,151.681830873574,NA,"all","all","all","all"
"2","sw","DW","momok",2.64765323972783,1.32382661986391,0.00353461707503665,NA,155.377012286353,NA,"all","all","all","all"
"2","sw","LT","HBI",66.9766282981732,33.4883141490866,0.0581945310478974,20.6976709510899,721.836969066418,2.16091954022989,"all","all","all","all"
"2","sw","LT","momok",34.95767988107,17.478839940535,0.0278686246921894,18.9217737925111,897.160766193767,1.44444444444444,"all","all","all","all"
"2","total","DW","HBI",0,0,0,NA,151.681830873574,NA,"all","all","all","all"
"2","total","LT","HBI",109.630050527311,54.8150252636557,0.176870048486641,20.6976709510899,721.836969066418,2.16091954022989,"all","all","all","all"
"2","total","LT","momok",69.4360019201429,34.7180009600715,0.112790710447742,18.9217737925111,897.160766193767,1.44444444444444,"all","all","all","all"
"2","total","RG","HBI",0.966587923988191,0.483293961994095,NA,NA,3006.85732109271,3.5632183908046,"all","all","all","all"
"2","total","RG","momok",NA,NA,NA,NA,2472.61201662895,2.75,"all","all","all","all"
"2","total","all","HBI",183.910157308443,91.9550786542214,0.295373310905767,NA,NA,NA,"all","all","all","all"
"2","total","all","momok",106.029274950249,53.0146374751247,0.169137524541545,NA,NA,NA,"all","all","all","all"
"3","ag","DW","HBI",2.64457347949743,1.32228673974872,0.00244150530973394,NA,203.182063274655,NA,"all","all","all","all"
"3","ag","LT","HBI",105.942038795367,52.9710193976836,0.181289861661224,17.7997177528157,407.010459818627,2.64814814814815,"all","all","all","all"
"3","ag","RG","HBI",1.1520590210027,0.576029510501351,0.00481187776466144,NA,4853.91343815207,4.09259259259259,"all","all","all","all"
"3","ag","all","HBI",205.561877422487,102.780938711243,0.352916409692545,NA,NA,NA,"all","all","all","all"
