"plot_ID","e_ID","inv_year","CCS_r_m","inter_stat","area_m2","stand"
30638,0,2011,17.84,"0",500.414707629617,"A"
30638,1,2011,12.62,"partly intersecting",249.553496428039,"B"
30638,0,2011,12.62,"0",250.561783739483,"A"
30638,1,2011,5.64,"partly intersecting",49.7182683377694,"B"
30638,0,2011,5.64,"0",50.1688816845633,"A"
30640,1,2011,17.84,"partly intersecting",446.519065703522,"B"
30640,0,2011,17.84,"0",552.885005210534,"A"
30640,1,2011,12.62,"partly intersecting",235.327481497472,"B"
30640,0,2011,12.62,"0",264.78779867005,"A"
30640,1,2011,5.64,"partly intersecting",56.7120869299271,"B"
30640,0,2011,5.64,"0",43.1750630924056,"A"
30641,1,2011,17.84,"partly intersecting",499.481205027321,"B"
30641,0,2011,17.84,"0",499.922865886735,"A"
30641,1,2011,12.62,"partly intersecting",249.901424835841,"B"
30641,0,2011,12.62,"0",250.213855331681,"A"
30641,1,2011,5.64,"partly intersecting",49.8737609067075,"B"
30641,0,2011,5.64,"0",50.0133891156253,"A"
30642,1,2011,17.84,"partly intersecting",374.09874760314,"B"
30642,0,2011,17.84,"0",625.305323310916,"A"
30642,1,2011,12.62,"partly intersecting",190.068904190959,"B"
30642,0,2011,12.62,"0",310.046375976563,"A"
30642,1,2011,5.64,"partly intersecting",40.0376835114906,"B"
30642,0,2011,5.64,"0",59.8494665108421,"A"
30648,1,2011,17.84,"partly intersecting",499.460041482114,"B"
30648,0,2011,17.84,"0",499.944029431941,"A"
30648,1,2011,12.62,"partly intersecting",249.886453834043,"B"
30648,0,2011,12.62,"0",250.228826333479,"A"
30648,1,2011,5.64,"partly intersecting",49.8670707168721,"B"
30648,0,2011,5.64,"0",50.0200793054607,"A"
30651,1,2011,17.84,"partly intersecting",499.514063629557,"B"
30651,0,2011,17.84,"0",499.890007284499,"A"
30651,1,2011,12.62,"partly intersecting",249.924668981592,"B"
30651,0,2011,12.62,"0",250.19061118593,"A"
30651,1,2011,5.64,"partly intersecting",49.8841489401496,"B"
30651,0,2011,5.64,"0",50.0030010821831,"A"
30652,1,2011,17.84,"partly intersecting",499.460962042248,"B"
30652,0,2011,17.84,"0",499.943108871807,"A"
30652,1,2011,12.62,"partly intersecting",249.887104966355,"B"
30652,0,2011,12.62,"0",250.228175201167,"A"
30652,1,2011,5.64,"partly intersecting",49.8673612186016,"B"
30652,0,2011,5.64,"0",50.0197888037312,"A"
40003,1,2011,17.84,"partly intersecting",499.339178663261,"B"
40003,0,2011,17.84,"0",500.064892250795,"A"
40003,1,2011,12.62,"partly intersecting",249.800955513282,"B"
40003,0,2011,12.62,"0",250.31432465424,"A"
40003,1,2011,5.64,"partly intersecting",49.8288601951996,"B"
40003,0,2011,5.64,"0",50.0582898271331,"A"
50005,1,2011,17.84,"partly intersecting",499.471184402745,"B"
50005,0,2011,17.84,"0",499.932886511311,"A"
50005,1,2011,12.62,"partly intersecting",249.894336255003,"B"
50005,0,2011,12.62,"0",250.220943912519,"A"
50005,1,2011,5.64,"partly intersecting",49.8705929514043,"B"
50005,0,2011,5.64,"0",50.0165570709284,"A"
50010,1,2012,17.84,"partly intersecting",181.418010334154,"B"
50010,0,2012,17.84,"0",817.986060579902,"A"
50010,1,2012,12.62,"partly intersecting",85.3101042493442,"B"
