"bfhnr","inventur","erhebjahr","horinr","ot","ut","horizont","humus","kalk","oxid","oxid_anteil","red","red_anteil","gefuege_form","gefuege_groesse","pedogen","wurzelintfein","wurzelintgrob","wurzel_verteil","humositaet","bodenart","grus","kies","stein","schichtung","gestein1","gestein2","gestein3","stratigrafie"
10002,2,2007,3,0,3,"Aeh","h2","c1","e0","-2","r0","-2","ein","gre1","-1","Wf4","Wg2","u","-2","gS",0,5,1,820,-2,-2,-2,"w,,s"
10002,2,2007,4,3,15,"GoAh","h1","c3","e0","-2","r0","-2","ein","gre1","-1","Wf4","Wg2","u","-2","gS",0,15,5,820,-2,-2,-2,"w,,s"
10002,2,2007,5,15,30,"BvGo","h1","c4","ed","f2","r0","-2","ein","gre1","-1","Wf5","Wg1","u","-2","gS",0,20,15,820,-2,-2,-2,"w,,s"
10002,2,2007,6,30,44,"IIGo","h1","c4","ed","f2","r0","-2","koh","gre4","-1","Wf6","Wg1","u","-2","Ut2",0,0,0,820,-2,-2,-2,"w,,s"
10002,2,2007,7,44,82,"IIGro","h0","c4","ed","f5","r0","-2","koh","gre4","-1","Wf0","Wg0","-2","-2","Ut2",0,0,0,820,-2,-2,-2,"w,,s"
10002,2,2007,8,82,130,"IIGr1","h0","c4","e0","-2","rg","f6","koh","gre5","-1","Wf0","Wg0","-2","-2","Ut2",0,0,0,820,-2,-2,-2,"w,,s"
10002,2,2007,9,130,200,"IIGr2","h0","c4","e0","-2","rg","f6","koh","gre3","-1","Wf0","Wg0","-2","-2","Su2",0,0,0,820,-2,-2,-2,"w,,s"
10003,2,2006,1,0,3,"Aeh","h4","c0","e0","-2","r0","-2","sub","gre3","-1","Wf3","Wg2","u","-2","Su3",0,0,0,969,-2,-2,-2,"w,,gf"
10003,2,2006,2,3,11,"Bhs","h3","c0","e0","-2","r0","-2","sub","gre3","-1","Wf2","Wg2","u","-2","Sl2",0,1,0,931,-2,-2,-2,"w,,gf"
10003,2,2006,3,11,38,"Bv","h1","c0","e0","-2","r0","-2","sub","gre2","-1","Wf4","Wg1","u","-2","Slu",0,6,6,931,-2,-2,-2,"w,,gf"
10003,2,2006,4,38,51,"AlSw","h0","c0","e0","-2","r0","-2","sub","gre3","-1","Wf1","Wg1","u","-2","Sl3",0,17.5,6,931,-2,-2,-2,"w,,gf"
10003,2,2006,5,51,88,"BtSd","h0","c1","eo","f2","r0","-2","sub","gre5","-1","Wf0","Wg1","u","-2","Ls3",0,6,17.5,831,-2,-2,-2,"w,,gf"
10003,2,2006,6,88,113,"Sd","h0","c1","e0","-2","rb","f2","sub","gre4","-1","Wf0","Wg0","u","-2","Ls3",0,6,17.5,831,-2,-2,-2,"w,,gf"
10003,2,2006,7,113,200,"Cv","h0","c1","e0","-2","r0","-2","koh","gre1","-1","Wf0","Wg0","u","-2","Ls3",0,6,1,831,-2,-2,-2,"w,,gf"
10004,2,2007,1,0,4,"SdAh","h4","c0","e0","-2","rg","f3","sub","gre3","-1","Wf3","Wg2","u","-2","Us",0,0,0,931,-2,-2,-2,"w,,Lg"
10004,2,2007,2,4,16,"Bhv","h3","c0","eo","-2","r0","-2","sub","gre3","-1","Wf3","Wg3","u","-2","Slu",0,6,0,931,-2,-2,-2,"w,,Lg"
10004,2,2007,3,16,62,"AlBv","h1","c0","e0","-2","r0","-2","sub","gre3","-1","Wf4","Wg2","u","-2","Ls3",0,6,1,931,-2,-2,-2,"w,,Lg"
10004,2,2007,4,62,85,"BtBv","h0","c0","eo","f2","r0","-2","sub","gre4","Vw","Wf2","Wg2","u","-2","Ls3",0,6,6,931,-2,-2,-2,"w,,Lg"
10004,2,2007,5,85,132,"IISd","h0","c0","eh","f4","r0","-2","pla","gre3","-1","Wf1","Wg1","u","-2","Lu",0,0,0,931,-2,-2,-2,"w,,Lg"
10004,2,2007,6,132,200,"IIICvSw","h0","c1","eh","f3","r0","-2","koh","gre3","-1","Wf1","Wg0","u","-2","Sl4",0,17.5,1,831,-2,-2,-2,"w,, Lg"
10005,2,2007,1,0,6,"Ah","h5","c0","e0","-2","r0","-2","sub","gre3","-1","Wf4","Wg2","u","-2","Ut2",0,0,0,928,-2,-2,-2,"w,,Lg"
10005,2,2007,2,6,27,"Bhs","h4","c0","e0","-2","r0","-2","sub","gre4","Hu;Vw","Wf3","Wg1","u","-2","Su4",0,1,1,928,-2,-2,-2,"w,,Lg"
10005,2,2007,3,27,39,"SwBs","h1","c0","e0","-2","r0","-2","sub","gre3","Hu;Vw","Wf2","Wg1","u","-2","Su4",0,1,1,928,-2,-2,-2,"w,,Lg"
10005,2,2007,4,39,52,"Sew","h1","c0","e0","-2","rb","f6","sub","gre3","Vw","Wf1","Wg0","u","-2","Uls",0,1,1,931,-2,-2,-2,"w,,Lg"
10005,2,2007,5,52,135,"Sd","h1","c1","eh","f4","r0","-2","sub","gre4","Vw","Wf1","Wg0","u","-2","Ls2",0,6,6,831,-2,-2,-2,"w,,Lg"
10005,2,2007,6,135,170,"CSw","h1","c4","ed","f2","rt","f4","koh","gre2","Vw","Wf0","Wg0","-2","-2","Lu",0,0,0,831,-2,-2,-2,"w,,Lg"
10005,2,2007,7,170,200,"Cc","h0","c4","e0","-2","r0","-2","koh","gre2","-1","Wf0","Wg0","-2","-2","Ls3",0,1,1,831,-2,-2,-2,"w,,Lg"
10006,2,2007,1,0,7,"Ah","h4","c0","e0","-2","r0","-2","koh","gre2","Sgb","Wf3","Wg1","u","-2","Su2",0,6,1,969,-2,-2,-2,"w,,Lg"
10006,2,2007,2,7,30,"Bhv","h1","c0","e0","-2","r0","-2","sub","gre2","-1","Wf5","Wg2","u","-2","Sl2",0,6,6,969,-2,-2,-2,"w,,Lg"
10006,2,2007,3,30,79,"Bv","h0","c0","e0","-2","r0","-2","ein","gre2","-1","Wf4","Wg1","u","-2","Sl2",0,17.5,17.5,969,-2,-2,-2,"w,,Lg"
10006,2,2007,4,79,109,"Cv1","h0","c0","e0","-2","r0","-2","ein","gre2","-1","Wf1","Wg1","u","-2","Sl2",0,37.5,6,969,-2,-2,-2,"w,,Lg"
10006,2,2007,5,109,200,"Cv2","h0","c3","e0","-2","r0","-2","ein","gre2","-1","Wf1","Wg0","u","-2","Su2",0,17.5,6,831,-2,-2,-2,"w,,Lg"
10007,2,2007,1,0,22,"Aeh","h5","c0","e0","-2","r0","-2","koh","gre3","Sgb;Hu","Wf3","Wg1","u","-2","fSu2",0,0,0,941,-2,-2,-2,"WA,,s"
10007,2,2007,2,22,33,"II Bsh","h2","c0","e0","-2","r0","-2","sub","gre4","-1","Wf4","Wg1","u","-2","fSu2",0,1,0,969,-2,-2,-2,"WA,,s"
10007,2,2007,3,33,44,"II Bhs","h3","c0","e0","-2","r0","-2","sub","gre3","-1","Wf4","Wg1","u","-2","fSms",0,6,6,969,-2,-2,-2,"WA,,s"
10007,2,2007,4,44,57,"II Bs","h1","c0","e0","-2","r0","-2","koh","gre2","Vw","Wf3","Wg1","u","-2","Su2",0,6,6,969,-2,-2,-2,"WA,,s"
10007,2,2007,5,57,83,"II rGo","h0","c0","eh","f3","r0","-2","ein","gre2","Vw","Wf1","Wg0","u","-2","fSms",0,6,6,969,-2,-2,-2,"WA,,s"
10007,2,2007,6,83,100,"II rGor","h0","c0","ed","f1","r0","-2","ein","gre1","-1","Wf0","Wg0","u","-2","mSfs",0,1,6,969,-2,-2,-2,"WA,,s"
10007,2,2007,7,100,147,"II rGr1","h0","c0","eh","f2","r0","-2","ein","gre1","-1","Wf0","Wg0","u","-2","gS",0,17.5,6,969,-2,-2,-2,"WA,,s"
10007,2,2007,8,147,200,"II rGr2","h0","c0","eh","f2","r0","-2","ein","gre1","-1","Wf0","Wg0","u","-2","mSfs",0,6,0,969,-2,-2,-2,"WA,,s"
10008,2,2006,1,0,10,"Aeh","h5","c0","e0","-2","r0","-2","sub","gre3","Hu","Wf2","Wg1","u","-2","Su2",0,0,0,941,-2,-2,-2,"WA,,s"
10008,2,2006,2,10,18,"Bsh","h4","c0","e0","-2","r0","-2","sub","gre3","Hu;Sgb","Wf3","Wg2","u","-2","mSfs",0,0,0,941,-2,-2,-2,"WA,,s"
10008,2,2006,3,18,45,"II Bhs","h3","c0","e0","-2","r0","-2","kit","gre2","Hu","Wf4","Wg2","u","-2","mSgs",0,6,6,965,928,-2,-2,"WA,,s"
10008,2,2006,4,45,65,"II Bs","h2","c0","e0","-2","r0","-2","koh","gre2","-1","Wf2","Wg1","u","-2","mSgs",0,6,6,965,928,-2,-2,"WA,,s"
10008,2,2006,5,65,80,"II rGo1","h1","c0","eo","f4","rb","f3","koh","gre2","-1","Wf2","Wg1","u","-2","Sl2",0,6,6,965,928,-2,-2,"WA,,s"
10008,2,2006,6,80,132,"III rGo2","h0","c0","eo","f4","rb","f4","ein","gre1","-1","Wf0","Wg0","u","-2","gS",0,6,6,928,-2,-2,-2,"WA,,s"
10008,2,2006,7,132,178,"III rGo3","h0","c0","eo","f3","rb","f4","ein","gre1","-1","Wf0","Wg0","u","-2","gS",0,0,17.5,928,-2,-2,-2,"WA,,s"
10008,2,2006,8,178,200,"III rGo4","h0","c0","eo","f4","rb","f3","ein","gre1","-1","Wf0","Wg0","u","-2","mSgs",0,0,0,928,-2,-2,-2,"WA,,s"
10010,2,2007,1,0,4,"Ah1","h5","c0","e0","-2","r0","-2","kru","gre2","-1","Wf4","Wg1","u","-2","Su4",0,1,0,969,-2,-2,-2,"w,,Lg"
10010,2,2007,2,4,10,"Ah2","h4","c0","e0","-2","r0","-2","sub","gre3","-1","Wf4","Wg2","u","-2","Su4",0,1,0,969,-2,-2,-2,"w,,Lg"
10010,2,2007,3,10,21,"Bhv","h2","c0","e0","-2","r0","-2","sub","gre3","-1","Wf4","Wg2","u","-2","Slu",0,6,0,931,-2,-2,-2,"w,,Lg"
10010,2,2007,4,21,35,"BhvSdw","h1","c0","eh","f4","r0","-2","sub","gre4","-1","Wf3","Wg2","u","-2","Ls2",0,6,0,931,-2,-2,-2,"w,,Lg"
10010,2,2007,5,35,65,"Sd1","h0","c0","eh","f4","rg","f4","pol","gre4","M","Wf2","Wg1","u","-2","Lt2",0,17.5,0,931,-2,-2,-2,"w,,Lg"
10010,2,2007,6,65,110,"Sd2","h0","c1","eh","f4","rg","f4","pol","gre4","M","Wf1","Wg1","u","-2","Lt3",0,6,0,831,-2,-2,-2,"w,,Lg"
10010,2,2007,7,110,200,"C-Sd","h0","c4","eh","f3","rg","f4","koh","gre3","M","Wf1","Wg1","u","-2","Lt3",0,6,0,831,-2,-2,-2,"w,,Lg"
10011,2,2006,1,0,50,"RAp","h3","c0","e0","-2","r0","-2","sub","gre3","Sgb","Wf4","Wg1","u","-2","mSfs",0,6,6,928,-2,-2,-2,"WA,,gf"
10011,2,2006,2,50,81,"rGoBs","h1","c0","eo","f3","r0","-2","ein","gre1","-1","Wf1","Wg0","u","-2","gS",0,17.5,17.5,928,-2,-2,-2,"WA,,gf"
10011,2,2006,3,81,110,"rGo1","h0","c0","eo","f2","r0","-2","ein","gre1","-1","Wf0","Wg0","u","-2","gS",0,17.5,6,928,-2,-2,-2,"WA,,gf"
10011,2,2006,4,110,200,"rGo2","h0","c0","eo","f1","r0","-2","ein","gre1","-1","Wf0","Wg0","u","-2","mSfs",0,6,6,928,-2,-2,-2,"WA,,gf"
10012,2,2006,1,0,21,"Aeh","h5","c0","e0","-2","r0","-2","kru","gre3","Hu;Sgb","Wf4","Wg2","u","-2","fSms",0,1,6,965,928,-2,-2,"WA,,gf"
10012,2,2006,2,21,31,"Bsh","h4","c0","e0","-2","r0","-2","kit","gre3","Hu","Wf5","Wg3","n","-2","fSms",0,6,17.5,965,928,-2,-2,"WA,,gf"
10012,2,2006,3,31,42,"Bs","h2","c0","e0","-2","r0","-2","kit","gre2","-1","Wf3","Wg2","n","-2","fSms",0,6,17.5,965,928,-2,-2,"WA,,gf"
10012,2,2006,4,42,64,"Bsv","h0","c0","e0","-2","r0","-2","ein","gre2","-1","Wf2","Wg1","u","-2","mSgs",0,17.5,6,928,-2,-2,-2,"WA,,gf"
10012,2,2006,5,64,82,"BvCv","h0","c0","e0","-2","r0","-2","ein","gre2","-1","Wf1","Wg1","u","-2","mSgs",0,17.5,6,928,-2,-2,-2,"WA,,gf"
10012,2,2006,6,82,98,"Cv1","h0","c0","e0","-2","r0","-2","ein","gre1","-1","Wf1","Wg0","u","-2","gS",0,17.5,6,928,-2,-2,-2,"WA,,gf"
10012,2,2006,7,98,200,"Cv2","h0","c0","e0","-2","r0","-2","ein","gre1","-1","Wf0","Wg0","-2","-2","mSfs",0,6,1,928,-2,-2,-2,"WA,,gf"
10013,2,2006,1,0,3,"AhRAp","h4","c0","e0","-2","r0","-2","kru","gre2","Sgb","Wf4","Wg1","u","-2","Us",0,6,6,969,-2,-2,-2,"w,,gf"
10013,2,2006,2,3,40,"RAp","h3","c0","e0","-2","r0","-2","sub","gre4","Sgb","Wf4","Wg1","u","-2","Su3",0,17.5,17.5,969,-2,-2,-2,"w,,gf"
10013,2,2006,3,40,95,"Bv1","h1","c0","e0","-2","r0","-2","sub","gre3","-1","Wf2","Wg2","u","-2","Su3",0,17.5,6,969,-2,-2,-2,"w,,gf"
10013,2,2006,4,95,115,"Bv2","h0","c0","e0","-2","r0","-2","ein","gre2","-1","Wf2","Wg1","u","-2","gS",0,37.5,37.5,969,-2,-2,-2,"w,,gf"
10013,2,2006,5,115,156,"II Cv","h0","c0","e0","-2","r0","-2","ein","gre1","-1","Wf0","Wg0","-2","-2","fSms",0,0,0,928,-2,-2,-2,"w,,gf"
10013,2,2006,6,156,200,"III Cv","h0","c0","e0","-2","r0","-2","ein","gre2","-1","Wf0","Wg0","-2","-2","gS",0,17.5,17.5,969,-2,-2,-2,"w,,gf"
10014,2,2006,1,0,7,"Ah","h5","c0","e0","-2","r0","-2","kru","gre3","-1","Wf4","Wg2","u","-2","Sl3",0,6,6,969,-2,-2,-2,"w,,Mg"
10014,2,2006,2,7,16,"SwAl","h3","c0","ed","f1","r0","-2","sub","gre3","-1","Wf3","Wg1","u","-2","Sl4",0,6,6,969,-2,-2,-2,"w,,Mg"
10014,2,2006,3,16,39,"AlSw","h2","c0","eo","f2","r0","-2","sub","gre3","-1","Wf3","Wg1","u","-2","Ls3",0,6,6,969,-2,-2,-2,"w,,Mg"
10014,2,2006,4,39,80,"BtSd","h0","c0","eo","f4","r0","-2","pol","gre3","-1","Wf1","Wg1","u","-2","Ls2",0,17.5,17.5,969,-2,-2,-2,"w,,Mg"
10014,2,2006,5,80,143,"Sd","h0","c4","eo","f3","r0","-2","pol","gre3","-1","Wf1","Wg0","u","-2","Lt2",0,6,6,831,-2,-2,-2,"w,,Mg"
10014,2,2006,6,143,200,"SdCc","h0","c4","eo","f2","r0","-2","koh","gre4","-1","Wf0","Wg0","u","-2","Lt3",0,1,6,831,-2,-2,-2,"w,,Mg"
10015,2,2007,1,0,3,"jAeh1","h2","c0","e0","-2","r0","-2","ein","gre1","Sgb","Wf2","Wg1","u","-2","fS",0,0,0,999,-2,-2,-2,"Soj///Sg"
10015,2,2007,2,3,11,"jAeh2","h3","c0","e0","-2","r0","-2","ein","gre1","Sgb","Wf2","Wg1","u","-2","fSms",0,0,6,999,-2,-2,-2,"Soj///Sg"
10015,2,2007,3,11,18,"jAhe","h2","c0","e0","-2","r0","-2","ein","gre1","-1","Wf1","Wg1","u","-2","mSfs",0,6,1,999,-2,-2,-2,"Soj///Sg"
10015,2,2007,4,18,86,"jCv","h1","c0","ed","f2","r0","-2","ein","gre1","Hu","Wf3","Wg1","u","-2","fSms",0,6,6,999,-2,-2,-2,"Soj///Sg"
10015,2,2007,5,86,95,"jAh","h2","c0","ed","f2","r0","-2","ein","gre1","Hu","Wf2","Wg1","u","-2","fSms",0,0,0,999,-2,-2,-2,"Soj///Sg"
10015,2,2007,6,95,175,"jBhs","h2","c0","e0","-2","r0","-2","ein","gre1","Hu","Wf2","Wg1","u","-2","fSms",0,0,0,999,-2,-2,-2,"Soj///Sg"
10015,2,2007,7,175,210,"II Cv","h1","c0","e0","-2","r0","-2","ein","gre1","Hu","Wf0","Wg0","u","-2","fSms",0,0,0,969,-2,-2,-2,"Sg"
10016,2,2007,1,0,19,"Aeh","h4","c0","e0","-2","r0","-2","kru","gre2","Sgb","Wf4","Wg1","u","-2","fS",0,1,1,965,928,-2,-2,"WA,,s"
10016,2,2007,2,19,34,"Bsh","h2","c0","e0","-2","r0","-2","sub","gre3","-1","Wf5","Wg2","u","-2","fS",0,6,17.5,965,928,-2,-2,"WA,,s"
10016,2,2007,3,34,47,"Bsv","h1","c0","e0","-2","r0","-2","sub","gre2","-1","Wf4","Wg1","u","-2","mSfs",0,6,6,965,928,-2,-2,"WA,,s"
10016,2,2007,4,47,84,"rGo1","h0","c0","ed","f1","r0","-2","ein","gre2","-1","Wf1","Wg1","u","-2","fSms",0,6,0,928,-2,-2,-2,"WA,,s"
10016,2,2007,5,84,145,"rGo2","h0","c0","eh","f1","rb","f6","ein","gre2","-1","Wf0","Wg0","-2","-2","Su2",0,0,0,928,-2,-2,-2,"WA,,s"
10016,2,2007,6,145,180,"rGor","h0","c0","eo","f1","rb","f6","ein","gre1","-1","Wf0","Wg0","-2","-2","Su2",0,0,0,928,-2,-2,-2,"WA,,s"
10016,2,2007,7,180,195,"rGr1","h0","c0","e0","-2","rb","f6","ein","gre1","-1","Wf0","Wg0","-2","-2","fS",0,0,0,928,-2,-2,-2,"WA,,s"
10016,2,2007,8,195,230,"rGr2","h0","c0","e0","-2","rb","f6","ein","gre1","-1","Wf0","Wg0","-2","-2","mSfs",0,1,1,928,-2,-2,-2,"WA,,s"
10017,2,2007,1,0,3,"Ah","h4","c0","e0","-2","r0","-2","kru","gre2","-1","Wf3","Wg2","u","-2","Su3",0,0,6,969,-2,-2,-2,"w,Lg"
10017,2,2007,2,3,5,"Ahe","h2","c0","e0","-2","r0","-2","kru","gre2","-1","Wf3","Wg2","u","-2","Su2",0,0,6,969,-2,-2,-2,"w,Lg"
10017,2,2007,3,5,11,"Bhs","h2","c0","e0","-2","r0","-2","sub","gre2","-1","Wf3","Wg2","u","-2","Su3",0,0,6,969,-2,-2,-2,"w,Lg"
10017,2,2007,4,11,50,"Bv1","h0","c0","e0","-2","r0","-2","sub","gre3","-1","Wf5","Wg3","u","-2","Su4",0,0,17.5,969,-2,-2,-2,"w,Lg"
10017,2,2007,5,50,155,"Bv2","h0","c0","e0","-2","r0","-2","sub","gre4","-1","Wf3","Wg2","u","-2","Slu",0,0,6,969,-2,-2,-2,"w,Lg"
10017,2,2007,6,155,180,"Cv","h0","c0","e0","-2","r0","-2","koh","gre3","-1","Wf1","Wg0","u","-2","Su2",0,0,0,969,-2,-2,-2,"w,Lg"
10017,2,2007,7,180,210,"Go","h0","c0","e0","-2","r0","-2","koh","gre1","-1","Wf0","Wg0","u","-2","Su2",0,0,0,969,-2,-2,-2,"w,Lg"
10018,2,2007,1,0,5,"Aha","h6","c0","e0","-2","r0","-2","sub","gre3","Hu","Wf3","Wg1","u","-2","Su2",0,0,0,928,-2,-2,-2,"w,,s"
10018,2,2007,2,5,14,"Ae","h1","c0","e0","-2","r0","-2","ein","gre1","Sgb","Wf1","Wg1","u","-2","mSfs",0,0,1,928,-2,-2,-2,"w,,s"
10018,2,2007,3,14,30,"Bsh","h3","c0","e0","-2","r0","-2","kit","gre4","Hu","Wf2","Wg1","u","-2","mSfs",0,0,0,928,-2,-2,-2,"w,,s"
10018,2,2007,4,30,58,"Bbhs","h3","c0","e0","-2","r0","-2","kit","gre4","Hu","Wf0","Wg0","-2","-2","mSfs",0,0,1,928,-2,-2,-2,"w,,s"
10018,2,2007,5,58,80,"Bs","h1","c0","e0","-2","r0","-2","ein","gre1","-1","Wf0","Wg0","-2","-2","mSgs",0,6,6,928,-2,-2,-2,"w,,s"
10018,2,2007,6,80,104,"Go","h1","c0","e0","-2","r0","-2","ein","gre1","-1","Wf0","Wg0","-2","-2","gS",0,6,6,928,-2,-2,-2,"w,,s"
10018,2,2007,7,104,140,"Gor","h0","c0","e0","-2","r0","-2","ein","gre1","-1","Wf0","Wg0","-2","-2","mSgs",0,6,1,928,-2,-2,-2,"w,,s"
10018,2,2007,8,140,200,"Gr","h1","c0","e0","-2","r0","-2","ein","gre1","-1","Wf0","Wg0","-2","-2","gS",0,17.5,6,928,-2,-2,-2,"w,,s"
10019,2,2007,1,0,10,"Ah","h5","c0","e0","-2","r0","-2","sub","gre4","-1","Wf3","Wg1","g","-2","Su2",0,1,6,928,-2,-2,-2,"qw,,s"
10019,2,2007,2,10,25,"Ahe","h2","c0","e0","-2","rb","f5","sub","gre4","-1","Wf2","Wg1","u","-2","Su2",0,1,6,928,-2,-2,-2,"qw,,s"
10019,2,2007,3,25,45,"Sw1","h1","c0","eh","f2","r0","-2","koh","gre2","-1","Wf0","Wg1","u","-2","mSfs",0,6,6,928,-2,-2,-2,"qw,,s"
10019,2,2007,4,45,60,"Sw2","h1","c0","ed","f3","r0","-2","kit","gre3","-1","Wf1","Wg1","u","-2","Sl2",0,6,17.5,969,-2,-2,-2,"qw,,s"
10019,2,2007,5,60,90,"Swd","h1","c0","ed","f4","r0","-2","kit","gre3","-1","Wf1","Wg0","u","-2","Sl3",0,6,17.5,969,-2,-2,-2,"qw,,s"
10019,2,2007,6,90,130,"Sd","h0","c0","eh","f5","r0","-2","kit","gre4","-1","Wf0","Wg0","-2","-2","Sl2",0,6,17.5,969,-2,-2,-2,"qw,,s"
10019,2,2007,7,130,180,"Csw1","h0","c0","e0","-2","r0","-2","koh","gre2","-1","Wf0","Wg0","-2","-2","Sl2",0,6,0,969,-2,-2,-2,"qw,,s"
10019,2,2007,8,180,200,"CSw2","h0","c0","e0","-2","r0","-2","ein","gre1","-1","Wf0","Wg0","-2","-2","Sl2",0,6,0,969,-2,-2,-2,"qw,,s"
10020,2,2006,1,0,4,"Ah","h4","c0","e0","-2","r0","-2","sub","gre3","Hu","Wf3","Wg1","u","-2","Su3",0,0,0,969,-2,-2,-2,"WA,,Lg"
10020,2,2006,2,4,11,"Ahe","h3","c0","e0","-2","r0","-2","sub","gre4","Hu","Wf3","Wg1","u","-2","Su3",0,0,6,969,-2,-2,-2,"WA,,Lg"
10020,2,2006,3,11,17,"Ae","h1","c0","ed","f1","r","f1","sub","gre4","-1","Wf2","Wg1","u","-2","Su3",0,0,6,969,-2,-2,-2,"WA,,Lg"
10020,2,2006,4,17,22,"Bh","h0","c0","eo","f3","rg","f2","sub","gre4","Hu","Wf2","Wg1","u","-2","Su3",0,0,6,969,-2,-2,-2,"WA,,Lg"
10020,2,2006,5,22,32,"Bhs","h0","c0","eo","f4","rg","f2","sub","gre3","Hu","Wf2","Wg1","u","-2","Su3",0,0,6,969,-2,-2,-2,"WA,,Lg"
10020,2,2006,6,32,41,"II Sw","h0","c0","eo","f4","rg","f2","pol","gre4","-1","Wf2","Wg1","u","-2","Ls3",0,1,1,969,-2,-2,-2,"WA,,Lg"
10020,2,2006,7,41,100,"II Swd1","h0","c0","eo","f5","rg","f4","pol","gre4","-1","Wf2","Wg1","u","-2","Lts",0,1,1,969,-2,-2,-2,"WA,,Lg"
10020,2,2006,8,100,140,"II Swd2","h0","c0","eo","f4","rg","f2","pol","gre5","-1","Wf1","Wg0","u","-2","Lt2",0,1,6,969,-2,-2,-2,"WA,,Lg"
10020,2,2006,9,140,200,"III Sw","h0","c0","eo","f4","rg","f2","koh","gre5","-1","Wf0","Wg0","u","-2","Su2",0,1,0,969,-2,-2,-2,"WA,,Lg"
10021,2,2007,1,0,22,"rAp","h3","c0","e0","-2","r0","-2","kru","gre2","Hu;Sgb","Wf4","Wg3","u","-2","fS",0,6,6,928,-2,-2,-2,"w,,s"
10021,2,2007,2,22,36,"Bsh","h2","c0","ed","f2","r0","-2","ein","gre2","Hu","Wf3","Wg2","u","-2","fS",0,6,6,928,-2,-2,-2,"w,,s"
10021,2,2007,3,36,74,"Bsv","h0","c0","ed","f6","r0","-2","ein","gre1","-1","Wf3","Wg2","u","-2","fS",0,1,6,928,-2,-2,-2,"w,,s"
10021,2,2007,4,74,106,"BvCv","h0","c0","ed","f5","r0","-2","ein","gre1","-1","Wf3","Wg2","u","-2","Su2",0,1,1,928,-2,-2,-2,"w,,s"
10021,2,2007,5,106,120,"Cv1","h0","c0","ed","f1","r0","-2","ein","gre1","-1","Wf1","Wg1","u","-2","Sl2",0,1,1,928,-2,-2,-2,"w,,s"
10021,2,2007,6,120,135,"Cv2","h0","c0","eh","f1","r0","-2","sub","gre2","-1","Wf0","Wg0","u","-2","Sl2",0,6,6,928,-2,-2,-2,"w,,s"
10021,2,2007,7,135,200,"rGo","h0","c0","eh","f3","r0","-2","ein","gre1","-1","Wf0","Wg0","u","-2","mSgs",0,17.5,6,928,-2,-2,-2,"w,,s"
10022,2,2007,1,0,5,"Ah","h4","c0","e0","-2","rb","f2","kru","gre3","Hu","Wf5","Wg2","u","-2","Sl3",0,6,1,969,-2,-2,-2,"w,,Lg"
10022,2,2007,2,5,17,"SewAh","h3","c0","eh","f1","rb","f4","kru","gre3","Hu","Wf4","Wg3","u","-2","Sl3",0,6,6,969,-2,-2,-2,"w,,Lg"
10022,2,2007,3,17,27,"Sew","h1","c0","eo","f2","rb","f5","sub","gre3","-1","Wf3","Wg1","u","-2","Sl3",0,6,6,969,-2,-2,-2,"w,,Lg"
10022,2,2007,4,27,55,"Sw1","h0","c0","eh","f4","r","f2","sub","gre4","-1","Wf2","Wg1","u","-2","Ls3",0,1,6,969,-2,-2,-2,"w,,Lg"
