"bund_nr","team","datum","hbi_status","beart","besttyp","struktur","schlussgrad_schi1","schlussgrad_schi2","mischung","pk1_aufnahme","pk2_aufnahme","pk3_aufnahme","geraet","beschreibungbestockung","anmerkung"
120070,"KF",2012-04-13,-9,1,2,1,2,-9,1,1,1,1,"-9","Aufnahmepunkt 104 cm und 59 gon vom Pflock",NA
120071,"KF",2011-09-16,-9,1,3,4,6,1,1,1,1,1,"-9",NA,NA
120072,"KF",2011-09-13,-9,1,5,5,2,6,2,1,1,1,"-9",NA,NA
120073,"KF",2011-10-25,-9,1,2,1,2,-9,1,1,1,2,"-9",NA,NA
120074,"KF",2011-09-15,-9,1,2,1,1,-9,1,1,1,1,"-9",NA,NA
120075,"KF",2011-10-07,-9,1,2,1,1,-9,1,1,1,1,"-9",NA,NA
120076,"KF",2011-10-26,-9,1,2,1,6,-9,1,1,1,1,"-9",NA,NA
120077,"KF",2011-09-22,-9,1,2,2,4,3,1,1,1,1,"-9",NA,NA
120078,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
120079,"KF",2011-09-26,-9,1,2,1,1,-9,1,1,1,2,"-9",NA,NA
120080,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
120081,"KF",2011-10-04,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120082,"-9",1970-01-01,-9,-9,-9,-9,-9,-9,-9,-1,-1,-1,"-9",NA,NA
120083,"KF",2012-03-27,-9,1,2,4,2,5,1,1,1,1,"-9",NA,NA
120084,"KF",2011-10-13,-9,1,6,1,1,-9,2,1,1,1,"-9",NA,NA
120085,"KF",2011-10-26,-9,1,5,1,1,-9,1,1,1,1,"-9",NA,NA
120086,"KF",2011-11-17,-9,1,2,2,2,6,1,1,1,1,"-9",NA,NA
120087,"KF",2011-10-14,-9,1,8,2,1,5,2,1,1,1,"-9",NA,NA
120088,"KF",2011-11-24,-9,1,2,2,2,6,1,1,1,1,"-9",NA,NA
120089,"KF",2011-11-17,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120090,"KF",2011-10-20,-9,1,2,1,2,-1,1,1,1,1,"-9",NA,NA
120091,"KF",2011-10-20,-9,1,2,5,3,2,1,1,1,1,"-9",NA,NA
120092,"KF",2011-11-16,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120093,"KF",2011-10-31,-9,1,2,1,2,-9,1,1,1,1,"-9","kein Pflock",NA
120094,"KF",2011-10-27,-9,1,5,1,1,-9,1,1,1,1,"-9",NA,NA
120095,"KF",2011-10-24,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120096,"KF",2012-03-12,-9,1,2,1,6,-9,1,1,1,2,"-9",NA,NA
120097,"KF",2011-11-14,-9,1,8,2,1,6,1,1,1,1,"-9",NA,NA
120098,"KF",2011-11-16,-9,1,8,1,2,-9,1,1,1,1,"-9",NA,NA
120099,"KF",2012-03-22,-9,1,8,4,5,5,1,1,1,2,"-9",NA,NA
120100,"KF",2011-10-28,-9,1,2,1,6,-9,1,1,1,1,"-9","kein Metallrohr - magnetischer Stein",NA
120101,"KF",2011-11-04,-9,1,2,2,2,2,1,1,1,1,"-9",NA,NA
120102,"KF",2011-11-04,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120103,"KF",2011-11-14,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120104,"KF",2011-11-02,-9,1,5,1,1,-9,2,1,1,1,"-9",NA,NA
120105,"KF",2011-11-15,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120106,"KF",2011-11-07,-9,1,2,2,4,5,1,1,1,1,"-9",NA,NA
120107,"KF",2011-11-08,-9,1,2,1,1,-9,1,1,1,1,"-9","kein Pflock",NA
120108,"KF",2012-04-30,-9,1,2,1,4,-9,1,1,1,1,"-9",NA,NA
120109,"KF",2012-04-30,-9,1,2,5,5,6,1,1,1,1,"-9",NA,NA
120110,"KF",2012-03-14,-9,1,3,1,6,-9,1,1,1,1,"-9",NA,NA
120111,"KF",2012-03-14,-9,1,2,1,2,-9,1,1,1,1,"-9",NA,NA
120112,"KF",2011-11-08,-9,1,2,4,3,-9,1,1,1,1,"-9",NA,NA
120113,"KF",2011-11-02,-9,1,2,1,6,-9,1,1,1,1,"-9",NA,NA
120114,"KF",2011-11-15,-9,1,2,1,5,-9,1,1,1,1,"-9",NA,NA
120115,"KF",2012-04-21,-9,1,2,1,6,-9,1,1,1,2,"-9",NA,NA
120116,"KF",2012-03-13,-9,1,2,1,2,-9,1,1,1,2,"-9",NA,NA
120117,"KF",2011-11-10,-9,1,3,1,1,-9,1,1,1,2,"-9",NA,NA
