"bund_nr","pk_nr","lfd_nr","bart","hoehe","grklasse"
36010,"E",10,121,40,0
36010,"S",1,207,30,0
36010,"S",2,121,30,0
36010,"S",3,121,80,0
36010,"S",4,121,80,0
36010,"S",5,207,35,0
36010,"S",6,207,60,0
36010,"S",7,207,55,0
36010,"S",8,207,50,0
36010,"S",9,207,65,0
36010,"S",10,207,30,0
36010,"W",1,207,40,0
36010,"W",2,207,45,0
36010,"W",3,207,50,0
36010,"W",4,207,30,0
36010,"W",5,207,55,0
36010,"W",6,207,35,0
36010,"W",7,207,40,0
36010,"W",8,207,45,0
36010,"W",9,207,50,0
36010,"W",10,121,55,0
23110,"N",1,207,50,0
23110,"N",2,207,110,0
23110,"N",3,121,80,0
23110,"N",4,153,105,0
23110,"N",5,153,85,0
23110,"N",6,153,60,0
23110,"N",7,108,115,0
23110,"N",8,108,90,0
23110,"N",9,117,65,0
23110,"N",10,207,50,0
23110,"E",1,108,50,0
23110,"E",2,108,50,0
23110,"E",3,108,100,0
23110,"E",4,108,95,0
23110,"E",5,108,100,0
23110,"E",6,207,95,0
23110,"E",7,108,160,1
23110,"E",8,108,420,1
23110,"E",9,108,270,1
23110,"E",10,108,160,1
23110,"S",1,108,450,1
23110,"S",2,108,130,1
23110,"S",3,108,150,1
23110,"S",4,207,20,0
23110,"S",5,108,400,1
23110,"S",6,108,320,1
23110,"S",7,108,140,1
23110,"S",8,108,150,1
23110,"S",9,108,130,1
23110,"S",10,108,160,1
23110,"W",1,NA,90,0
23110,"W",2,108,100,0
23110,"W",3,121,50,0
23110,"W",4,108,85,0
23110,"W",5,108,190,1
23110,"W",6,108,90,0
23110,"W",7,207,110,0
23110,"W",8,207,40,0
23110,"W",9,153,110,0
36020,"N",1,211,47,0
36020,"N",2,211,80,0
36020,"N",3,211,20,0
36020,"N",4,211,40,0
36020,"N",5,211,20,0
36020,"N",6,211,30,0
36020,"N",7,211,40,0
36020,"N",8,211,20,0
36020,"N",9,211,30,0
36020,"N",10,211,20,0
36020,"E",1,211,60,0
36020,"E",2,211,60,0
36020,"E",3,211,225,1
36020,"E",4,211,180,1
36020,"E",5,211,35,0
36020,"E",6,107,30,0
36020,"E",7,107,50,0
36020,"S",1,211,90,0
36020,"S",2,211,110,0
36020,"S",3,211,320,1
36020,"S",4,211,165,1
36020,"S",5,211,180,1
36020,"S",6,207,80,0
