"bfhnr","plot_re4","plot_ho4","plot_inventur","plot_huform","plot_bestyp","plot_bodtyp","tf_ot","tf_ut","tf_corg","tf_fbv","tf_trd","tf_sand","tf_schluff","tf_ton","tf_bodart","hori_bez","hori_nr","hori_ot","hori_ut"
80223,4241278,5453921,2,"MUT","LW","KVn",5,10,313,115,"0,23",,,,"Ha","Go-Gr",2,31,44
80223,4241278,5453921,2,"MUT","LW","KVn",10,30,289,520,"0,26",,,,"Ha","Gr",3,44,72
80223,4241278,5453921,2,"MUT","LW","KVn",30,60,"36,92",3120,"1,04",,,,"Tl","IIGr",4,72,100
80223,4241278,5453921,2,"MUT","LW","KVn",60,90,"4,81",3810,"1,27",,,,"Lts",,,,
80264,4215464,5306691,2,"ROF","Fi","SGn",0,5,"40,9","361,25","0,85",,,,"Ls2","Ah-Srw",1,0,26
80264,4215464,5306691,2,"ROF","Fi","SGn",5,10,"37,3","416,5","0,98",,,,"Ls2","Srw",2,26,38
80264,4215464,5306691,2,"ROF","Fi","SGn",10,30,"30,2",1564,"0,92","69,8","30,3",0,"Su3","Srd",3,38,61
80264,4215464,5306691,2,"ROF","Fi","SGn",30,60,"6,47","2898,7","1,22","48,8","42,6","8,6","Slu",,,,
80264,4215464,5306691,2,"ROF","Fi","SGn",60,90,"1,2",2286,"1,27",,,,"St2",,,,
90063,4378880,5286332,1,,"Fi","HH",,,,,,,,,,,,,
90156,4436000,5278000,1,,"Ki","HH",,,,,,,,,,,,,
90187,4452000,5310000,1,,"Ki","HH",,,,,,,,,,,,,
90261,4484000,5494000,1,,"MW","HH",,,,,,,,,,,,,
90277,4492103,5502100,1,"AMO","Ki","HH",,,,,,,,,,,,,
90305,4508000,5318000,1,,"Fi","HH",,,,,,,,,,,,,
90381,4564000,5310000,1,,"Fi","HH",,,,,,,,,,,,,
90525,4338804,5280093,2,"MUF","Fi","HNn",0,5,"444,41","63,19","0,13","19,79","30,77","49,44","Tu2","Hw1",1,0,44
90525,4338804,5280093,2,"MUF","Fi","HNn",5,10,"434,08","71,7","0,14","15,62","32,91","51,47","Tu2","Hw2",2,44,63
90525,4338804,5280093,2,"MUF","Fi","HNn",10,30,"448,63","245,84","0,12","20,04",32,"47,95","Tu2","Hr1",3,63,134
90525,4338804,5280093,2,"MUF","Fi","HNn",30,60,"404,13","448,71","0,15","24,08","33,22","42,71","Lt3","Hr2",4,134,150
