"bund_nr","pk_nr","pk_aufnahme","pk_richtung","pk_dist","pk_maxdist","pk_anmerkung"
10015,4,1,"w",1000,301,NA
10016,4,2,"w",1000,-9,NA
10017,4,1,"w",1000,429,NA
10018,4,1,"w",1000,237,NA
10019,4,1,"w",1000,358,NA
10020,4,1,"w",1000,213,NA
10021,4,1,"w",1000,392,NA
10022,4,1,"w",1000,202,NA
10023,4,1,"w",1000,303,NA
10024,4,1,"w",1000,414,NA
10025,4,1,"w",1000,166,NA
10026,4,1,"w",1000,440,NA
10027,4,1,"w",1000,429,NA
10028,4,2,"w",1000,-9,NA
10029,4,2,"w",1000,-9,NA
10030,4,1,"w",1000,443,NA
10031,4,1,"w",1000,74,NA
10032,4,1,"w",1000,241,NA
10033,4,1,"w",1000,389,NA
10034,4,2,"w",1000,-9,NA
10035,4,1,"w",1000,382,NA
10036,4,1,"w",1000,454,NA
10037,4,1,"w",1000,491,NA
10038,4,1,"w",1000,368,NA
10039,4,2,"w",1000,-9,NA
10040,4,1,"w",1000,169,NA
10041,4,2,"w",1000,-9,NA
10042,4,1,"w",1000,351,NA
10043,4,1,"w",1000,363,NA
20001,4,-1,"w",1000,-9,NA
20002,4,-1,"w",1000,-9,NA
20003,4,-1,"w",1000,-9,NA
20004,4,-1,"w",1000,-9,NA
40001,4,1,"w",1000,98,NA
40003,4,1,"w",1000,189,NA
40004,4,1,"w",1000,312,NA
40005,4,1,"w",1000,302,NA
30001,4,1,"w",1000,491,NA
30002,4,1,"w",1000,102,NA
30004,4,1,"w",1000,53,NA
30006,4,1,"w",1000,203,NA
30007,4,1,"w",1000,137,NA
30008,4,1,"w",1000,135,NA
30009,4,1,"w",1000,168,NA
30601,4,1,"w",1000,174,NA
30602,4,1,"w",500,256,NA
30013,4,1,"w",1000,495,NA
30014,4,2,"w",1000,-9,NA
30016,4,1,"w",1000,182,NA
30019,4,1,"w",1000,336,NA
30022,4,1,"w",1000,97,NA
30023,4,1,"w",1000,151,NA
30024,4,1,"w",1000,161,NA
30026,4,1,"w",500,95,NA
30028,4,1,"w",1000,289,NA
30029,4,1,"w",1000,316,NA
30603,4,1,"w",1000,215,NA
30604,4,1,"w",1000,436,NA
30031,4,1,"w",1000,441,NA
30032,4,1,"w",1000,136,NA
30033,4,1,"w",1000,486,NA
30034,4,1,"w",1000,118,NA
30036,4,2,"w",1000,-9,NA
30605,4,1,"w",1000,364,NA
30037,4,1,"w",1000,123,NA
30606,4,2,"w",1000,-9,NA
30039,4,1,"w",1000,293,NA
30040,4,1,"w",1000,264,NA
30042,4,1,"w",1000,314,NA
30044,4,1,"w",1000,424,NA
30607,4,1,"w",1000,86,NA
30051,4,1,"w",1000,257,NA
30053,4,2,"w",1000,-9,NA
30055,4,1,"w",1000,423,NA
30058,4,1,"w",1000,297,NA
30059,4,1,"w",200,65,NA
30608,4,1,"w",1000,496,NA
30060,4,1,"w",1000,118,NA
30062,4,1,"w",1000,421,NA
30063,4,1,"w",1000,426,NA
30064,4,1,"w",1000,195,NA
30069,4,1,"w",1000,183,NA
30609,4,1,"w",1000,359,NA
30610,4,1,"w",1000,204,NA
30070,4,1,"w",1000,277,NA
30510,4,1,"w",1000,496,NA
30515,4,1,"w",1000,216,NA
30611,4,1,"w",1000,413,NA
30077,4,1,"w",1000,366,NA
30079,4,1,"w",1000,77,NA
30080,4,1,"w",1000,431,NA
30081,4,1,"w",1000,244,NA
30083,4,2,"w",1000,-9,NA
30522,4,1,"w",1000,168,NA
30086,4,1,"w",1000,482,NA
30088,4,1,"w",1000,155,NA
30089,4,1,"w",1000,428,NA
30094,4,1,"w",1000,178,NA
30612,4,2,"w",1000,-9,NA
30521,4,1,"w",1000,391,NA
30098,4,1,"w",1000,309,NA
30613,4,2,"w",1000,-9,NA
30099,4,1,"w",1000,88,NA
30614,4,1,"w",1000,493,NA
30615,4,1,"w",1000,288,NA
30616,4,1,"w",1000,307,NA
30617,4,1,"w",0,266,NA
30618,4,2,"w",1000,-9,NA
30105,4,1,"w",1000,472,NA
30619,4,1,"w",1000,445,NA
30107,4,1,"w",1000,468,NA
30109,4,1,"w",1000,201,NA
30110,4,1,"w",1000,492,NA
30111,4,1,"w",1000,495,NA
30112,4,1,"w",1000,266,NA
30620,4,1,"w",1000,379,NA
30501,4,1,"w",1000,476,NA
30621,4,1,"w",1000,445,NA
30118,4,1,"w",1000,288,NA
30119,4,1,"w",1000,433,NA
30622,4,1,"w",300,73,NA
30123,4,2,"w",1000,-9,NA
30125,4,1,"w",1000,98,NA
30513,4,1,"w",1000,324,NA
30623,4,1,"w",1000,393,NA
30514,4,1,"w",1000,468,NA
30127,4,1,"w",1000,259,NA
30128,4,1,"w",500,371,NA
30129,4,1,"w",1000,372,NA
30130,4,1,"w",1000,118,NA
30131,4,2,"w",1000,-9,NA
30624,4,1,"w",1000,468,NA
30509,4,1,"w",1000,128,NA
30132,4,1,"w",1000,396,NA
30625,4,1,"w",1000,465,NA
30626,4,2,"w",1000,-9,NA
30627,4,1,"w",1000,210,NA
30138,4,1,"w",1000,254,NA
30139,4,1,"w",1000,484,NA
30141,4,1,"w",1000,307,NA
30142,4,1,"w",1000,63,NA
30143,4,1,"w",1000,413,NA
30628,4,1,"w",1000,397,NA
30629,4,1,"w",500,138,NA
30630,4,1,"w",1000,261,NA
30504,4,1,"w",1000,402,NA
30507,4,1,"w",1000,306,NA
30147,4,1,"w",1000,92,NA
30148,4,1,"w",1000,126,NA
30150,4,1,"w",1000,475,NA
30154,4,1,"w",1000,453,NA
30157,4,1,"w",500,316,NA
30505,4,1,"w",1000,371,NA
30158,4,1,"w",1000,485,NA
30159,4,1,"w",1000,492,NA
30160,4,1,"w",1000,491,NA
30631,4,1,"w",1000,271,NA
30161,4,1,"w",1000,366,NA
30163,4,1,"w",1000,119,NA
