"bfhnr_2","bfhnr_1","erhebjahr_1","erhebjahr_2","bestandestyp_2","besttyp_2d","humusform_2","agghu_typ_2","eu_humusform","bodentyp_2","bodentypgr_2","bodenklasse_2","podsoligkeit_2","gruendigkeit_2","wrb"
30058,3058,1991,2007,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MUT","MU","-9","BB","BB","B","p1","+85","-1/-1/-1/-1/-1"
30059,3059,1991,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUT","MU","-9","RR","RR","R","p1","+55","-1/-1/-1/-1/-1"
30060,3060,1991,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM","2","BB","BB","B","p2","+120",NA
30062,3062,1990,2007,7,"Nadelholzreiche Laubholzmischbestände (> 30 % Nadelholz)","MOR","MOT","-9","PP","PP","P","-9","+85","-1/-1/-1/-1/-1"
30063,3063,1991,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT","-9","PP-SS","SS","S","-9","+120","-1/-1/-1/-1/-1"
30064,3064,1991,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU","-9","RR","RR","R","p1","+30","-1/-1/-1/-1/-1"
30069,3069,1991,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MOM","MOM","-9","BB","BB","B","p1","+135","-1/-1/-1/-1/-1"
30070,3070,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU","1","CF-LL","LL","L","p1","+90",NA
30077,3077,1991,2007,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MOA","MOT","-9","BB","BB","B","p1","+140","-1/-1/-1/-1/-1"
30079,3079,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU","-9","LL-TT","TT","T","p2","+140","-1/-1/-1/-1/-1"
30080,3080,1990,2007,5,"Eichen(rein)bestand (>= 70 % Eiche)","MUO","MU","-9","BB","BB","B","p1","+90","-1/-1/-1/-1/-1"
30081,3081,1990,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU","-9","LL-CF","CF","C","p1","+90","-1/-1/-1/-1/-1"
30083,3083,1990,2007,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MOA","MOT","-9","LF-LL","LL","L","p2","+125","-1/-1/-1/-1/-1"
30086,3086,1991,2007,4,"Buchen(rein)bestand (>= 70 % Buche)","MUO","MU","-9","BB","BB","B","p1","+135","-1/-1/-1/-1/-1"
30088,3088,1990,2006,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","MOR","MOT","-9","SS-PP","PP","P","p1","+150","-1/-1/-1/-1/-1"
30089,3089,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT","-9","PP-BB","BB","B","-9","+200","-1/-1/-1/-1/-1"
30094,3094,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MRR","MR","-9","PP","PP","P","-9","+140","-1/-1/-1/-1/-1"
30098,3098,1990,2007,7,"Nadelholzreiche Laubholzmischbestände (> 30 % Nadelholz)","MUO","MU","-9","GG-BB","BB","B","p1","+160","-1/-1/-1/-1/-1"
30099,3099,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT","2","PP-BB","BB","B","-9","+200",NA
30105,3105,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOA","MOT","2","BB-LL","LL","L","p2","+200",NA
30107,3107,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MRR","MR","-9","BB-PP","PP","P","-9","+190","-1/-1/-1/-1/-1"
30109,3109,1990,2007,8,"sonstige Laubbaumarten (>= 70 % sonstiges Laubholz)","MUO","MU","-9","SS","SS","S","p1","+160","-1/-1/-1/-1/-1"
30110,3110,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT","-9","YU","YU","Y","p1","+180","-1/-1/-1/-1/-1"
30111,3111,1990,2007,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","MOA","MOT","-9","LL-BB","BB","B","p2","+180","-1/-1/-1/-1/-1"
30112,3112,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT","-9","PP-BB","BB","B","-9","+200","-1/-1/-1/-1/-1"
30118,3118,1991,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","GMO","MOT","-9","GG-BB","BB","B","p2","+200","-1/-1/-1/-1/-1"
30119,3119,1991,2007,3,"sonstige Nadelbaumarten (>= 70 % sonstiges Nadelholz)","MOA","MOT","-9","SS-GG","GG","G","p2","+140","-1/-1/-1/-1/-1"
30123,3123,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MRA","MR","-9","YE-HN","HN","H","p2","+80","-1/-1/-1/-1/-1"
30125,3125,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","GMO","MOT","2","BB-PP","PP","P","-9","+190",NA
30127,3127,1990,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","ROR","RO","-9","BB-PP","PP","P","-9","+200","-1/-1/-1/-1/-1"
30128,3128,1990,2006,6,"Laubholzreiche Nadelmischbestände (> 30 % Laubholz)","MOR","MOT","-9","PP","PP","P","-9","+200","-1/-1/-1/-1/-1"
30129,3129,1990,2007,1,"Fichten(rein)bestand (>= 70 % Fichte)","MOA","MOT","-9","BB-YU","YU","Y","p1","+200","-1/-1/-1/-1/-1"
30130,3130,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","GMO","MOT","-9","PP","PP","P","-9","+180","-1/-1/-1/-1/-1"
30131,3131,1991,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MRR","MR","-9","SS-PP","PP","P","-9","+150","-1/-1/-1/-1/-1"
30132,3132,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MRR","MR","-9","BB-PP","PP","P","-9","+200","-1/-1/-1/-1/-1"
30138,3138,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","ROR","RO","-9","GG-PP","PP","P","-9","+170","-1/-1/-1/-1/-1"
30139,3139,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","GMO","MOT","2","BB-PP","PP","P","-9",NA,"-1/-9/-1/-1/-1"
30141,3141,1990,2007,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT","-9","PP","PP","P","-9","+200","-1/-1/-1/-1/-1"
30142,3142,1990,2006,2,"Kiefern(rein)bestand (>= 70 % Kiefer)","MOR","MOT","-9","BB-PP","PP","P","-9","+170","-1/-1/-1/-1/-1"
