"bfhnr","inventur","tiefenstufe","ot","ut","m_trd_fbv2","m_ea_corg2","m_ea_cco32","m_ea_cges2","m_ea_n2","m_ak_ca2","m_ak_k2","m_ak_mg2","m_ak_na2","m_ak_al2","m_ak_mn2","m_ak_h2","m_ak_fe2","m_ak_ak2","m_ak_bs2","m_as_p2","m_as_ca2","m_as_k2","m_as_mg2","m_as_mn2","m_as_na2","m_as_al2","m_as_fe2","m_as_s2","m_ph_h2o2","m_ph_k2","m_ph_ca2","m_cn2","m_cp2"
10004,2,"5 - 10",5,10,640.234,20.7,0,20.7,1.49,8.645,2.585,3.3,2.385,50.5481012658228,0.877,5.88,4.05,78.27,0.22,0.301,0.706,2.169,1.989,0.176,0.11,10.793,12.625,0.177,4.11,3.51,3.59,13.89,68.77
10004,2,"10 - 30",10,30,2987.718,11.7,0,11.7,0.84,1.43,1.23,1.7,4.52,49.9873417721519,0.6155,3.71,1.013,64.21,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.29,3.64,3.76,13.93,NA
10004,2,"30 - 60",30,60,4915.701,3.9,0,3.9,0.37,2.9,1.335,1.965,10.1,50.6240506329114,0.603,2.08,0.25,69.86,0.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.42,3.69,3.84,10.54,NA
10004,2,"60 - 90",60,90,4887,1.8,0,1.8,NA,25.35,1.695,9.92,14.7,24.8924050632912,0.765,2.18,0.2,79.7,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,3.67,4.11,NA,NA
10005,2,"0 - 5",0,5,299.35,168,0,168,6.85,24.45,1.875,5.09,2.6,84.646835443038,0.1035,42.7,3.78,165.25,0.21,0.308,0.765,0.516,0.294,0.0112,0.242,4.354,1.913,0.841,3.86,2.88,2.99,24.53,545.45
10005,2,"5 - 10",5,10,598.95,49.5,0,49.5,1.97,8.705,0.6485,1.785,1.075,64.5778481012658,0.05025,23.7,1.99,102.53,0.12,0.193,0.428,0.54,0.398,0.014,0.047,4.876,1.71,0.301,3.87,3,3.14,25.13,256.48
10005,2,"10 - 30",10,30,3272.94,22.1,0,22.1,0.99,2.51,0.381,1.205,1.1,64.1208860759493,0.05025,4.79,1.67,75.83,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,3.54,3.57,22.32,NA
10005,2,"30 - 60",30,60,5247.936,8.19,0,8.19,0.46,3.49,0.3,1.435,1.475,44.5253164556962,0.05025,2.47,1.0265,54.77,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.59,3.81,3.87,17.8,NA
10005,2,"60 - 90",60,90,4805.856,3.66,0,3.66,NA,8.91,0.8275,4.565,3.685,38.6506329113924,0.1,1.6,0.6425,58.98,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,3.79,3.92,NA,NA
10006,2,"0 - 5",0,5,507.408,61.5,0,61.5,3.43,30.5,1.635,5.685,0.702,31.2924050632911,1.182,13,3.59,87.59,0.44,0.363,1.312,0.839,0.876,0.157107,0.215,5.863,10.759,0.36,4.19,3.29,3.51,17.93,169.42
10006,2,"5 - 10",5,10,589.68,29.3,0,29.3,1.81,10.165,0.587,2.01,0.63,40.5829113924051,0.9095,5.15,1.7,61.73,0.22,0.323,1.352,0.993,1.272,0.284,0.184,8.328,13.991,0.23,4.37,3.56,3.74,16.19,90.71
10006,2,"10 - 30",10,30,2676.432,18.9,0,18.9,1.22,5.525,0.287,1.155,0.5605,33.0202531645569,0.801,1.91,0.453,43.71,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.53,3.91,4.04,15.49,NA
10006,2,"30 - 60",30,60,3772.923,6.44,0,6.44,0.43,0.947,0.25,0.4395,0.785,14.0139240506329,0.2425,0.61,0.25,17.54,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.72,4.29,4.37,14.98,NA
10006,2,"60 - 90",60,90,3557.295,2.61,0,2.61,0.0666666666666667,0.75,0.108333333333333,0.6395,1.44166666666667,11.8677215189873,0.414,0.314,0.4,15.94,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.02,4.31,4.38,39.15,NA
10007,2,"0 - 5",0,5,581.8,47.1,0,47.1,1.49,10.395,0.5995,2.1,0.5,27.1613924050633,0.05025,19.2,1.73,61.74,0.22,0.104,0.389,0.212,0.153,0.0128,0.181,1.327,1.822,0.211,4.08,2.89,3.04,31.61,452.88
10007,2,"5 - 10",5,10,622.85,37.2,0,37.2,1.27,5.385,0.377,1.235,0.5,40.2006329113924,0.05025,12.1,1.485,61.33,0.12,0.138,0.27,0.34,0.088,0.00957,0.197,1.71,2.082,0.16,4.13,3.1,3.19,29.29,269.57
10007,2,"10 - 30",10,30,2786.8,37.1,0,37.1,1.12,3.91,0.447,1.385,0.5,45.4715189873418,0.05025,7.16,1.325,60.25,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,3.36,3.36,33.13,NA
10007,2,"30 - 60",30,60,4436.205,6.1,0,6.1,0.27,0.3,0.108333333333333,0.1985,0.316666666666667,14.7753164556962,0.05025,0.286,0.2635,16.3,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.74,4.34,4.17,22.59,NA
10007,2,"60 - 90",60,90,4578.516,1.49,0,1.49,NA,0.208333333333333,0.108333333333333,0.1025,0.316666666666667,5.04556962025316,0.05025,0.239,0.2,6.27,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.93,4.64,4.48,NA,NA
10008,2,"0 - 5",0,5,684.65,56.8,0,56.8,1.54,4.915,0.3945,1.14,0.45,26.0145569620253,0.05025,23.8,0.706,57.47,0.12,0.0629,0.162,0.245,0.0319,6.66666666666667e-05,0.084,0.846,0.672,0.139,3.85,2.7,2.83,36.88,903.02
10008,2,"5 - 10",5,10,650.05,56.2,0,56.2,1.83,3.255,1.075,1.105,0.5,52.4943037974683,0.05025,22.1,2.215,82.79,0.07,0.143,0.167,0.27,0.0273,6.66666666666667e-05,0.072,2.054,3.755,0.225,3.81,2.92,2.98,30.71,393.01
10008,2,"10 - 30",10,30,2430.462,22.7,0,22.7,1.06,0.4,0.618333333333333,0.216,0.366666666666666,29.1822784810127,0.05025,1.17,0.863,32.87,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.29,4.05,3.98,21.42,NA
10008,2,"30 - 60",30,60,4229.016,4.28,0,4.28,0.39,0.208333333333333,0.528333333333333,0.1155,0.366666666666666,8.16898734177215,0.05025,0.14,0.15,9.73,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,4.47,4.4,10.97,NA
10008,2,"60 - 90",60,90,4411.704,0.855,0,0.855,NA,0.208333333333333,0.573333333333333,0.1025,0.316666666666667,2.12151898734177,0.05025,0.189,0.25,3.81,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.65,4.67,4.57,NA,NA
10010,2,"0 - 5",0,5,575.4375,48.5,0,48.5,3.89,56.9,4.395,10.8,2.08,32.1613924050633,1.9,5.71,2.33,116.28,0.64,0.376,1.8,2.621,2.382,0.212,0.148,12.009,13.207,0.353,4.52,3.59,3.84,12.47,128.99
10010,2,"5 - 10",5,10,670.428,28.2,0,28.2,2.11,25.1,2.39,5.05,2.625,50.8822784810126,0.7995,5.8,2.415,95.06,0.37,0.311,1.47,2.837,2.86,0.229,0.147,14.6,15.733,0.212,4.47,3.54,3.72,13.36,90.68
10010,2,"10 - 30",10,30,3012.888,15.6,0,15.6,1.3,51.6,1.55,5.985,1,25.4683544303797,1.2785,2.85,0.3355,90.07,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.89,3.68,4.14,12,NA
10010,2,"30 - 60",30,60,4695.195,4.79,0,4.79,0.53,100.35,2.55,13.3,1.955,5.92151898734177,1.305,0.905,0.101666666666667,126.39,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.49,4.07,4.74,9.04,NA
10010,2,"60 - 90",60,90,4983.777,2.38,5.87,8.25,NA,137,3.3,7.3,1.3,NA,NA,NA,NA,148.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.39,7.45,7.59,NA,NA
10011,2,"0 - 5",0,5,559.68,39.3,0,39.3,1.48,2.205,0.108333333333333,0.9,0.45,38.1550632911392,0.1,11.9,3.4,57.22,0.06,0.109,0.328,0.477,0.325,0.0215,0.104,3.282,4.432,0.147,3.92,3.31,3.29,26.55,360.55
10011,2,"5 - 10",5,10,568.172,39.9,0,39.9,1.38,1.1735,0.108333333333333,0.3605,0.4,50.9867088607595,0.05025,5,1.99,60.07,0.03,0.124,0.295,0.506,0.36,0.0183,0.133,4.462,4.829,0.147,3.92,3.64,3.57,28.91,321.77
10011,2,"10 - 30",10,30,2254.384,40.6,0,40.6,1.77,0.7925,0.108333333333333,0.537,0.4,56.4746835443038,0.05025,2.38,1.51,62.25,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.32,3.87,3.82,22.94,NA
10011,2,"30 - 60",30,60,3542.868,10.4,0,10.4,0.47,0.35,0.108333333333333,0.2,0.366666666666666,15.6417721518988,0.05025,1.05,0.25,18.02,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.54,4.34,4.31,22.13,NA
10011,2,"60 - 90",60,90,3648.876,1.41,0,1.41,0.0666666666666667,0.25,0.108333333333333,0.1025,0.316666666666667,3.33987341772152,0.05025,0,0.15,4.32,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,4.64,4.65,21.15,NA
10012,2,"0 - 5",0,5,579.948,42.1,0,42.1,1.49,2.77,0.166333333333333,0.6,0.431166666666667,42.2272151898734,0.1,19.4,2.675,68.37,0.06,0.094,0.177,0.44,0.0407,0.00493,0.125,1.797,2.657,0.136,3.95,3.15,3.13,28.26,447.87
10012,2,"5 - 10",5,10,591.573,50.6,0,50.6,1.89,1.905,0.168333333333333,0.5,0.586666666666667,47.3240506329114,0.1,21.4,2.47,74.45,0.04,0.0712,0.146,0.349,0.0183,6.66666666666667e-05,0.11,1.42,1.384,0.105,3.83,3.07,3.02,26.77,710.67
10012,2,"10 - 30",10,30,2175.15,26.9,0,26.9,0.89,0.45,0.108333333333333,0.2,0.316666666666667,33.8759493670886,0.05025,0.608,0.96,36.57,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.38,4.1,4.03,30.22,NA
10012,2,"30 - 60",30,60,3520.548,4.41,0,4.41,0.18,0.208333333333333,0.499833333333333,0.15,0.901666666666667,6.34113924050633,0.05025,0,0.15,8.3,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.64,4.52,4.53,24.5,NA
10012,2,"60 - 90",60,90,3671.712,1.37,0,1.37,0.0666666666666667,0.208333333333333,0.351833333333333,0.1025,0.696666666666667,3.88987341772152,0.1,0,0.15,5.5,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.63,4.58,4.52,20.55,NA
10013,2,"0 - 5",0,5,522.774,47.5,0,47.5,2.26,3.725,0.4645,1.61,0.55,31.9164556962026,0.233,25.3,5.02,68.82,0.09,0.389,0.429,0.555,0.426,0.0695,0.127,4.089,5.785,0.273,3.65,2.91,3.04,21.02,122.11
10013,2,"5 - 10",5,10,553.245,21.4,0,21.4,1.08,1.34,0.768333333333333,0.5375,1.06166666666667,36.9569620253165,0.6055,8.18,1.895,51.34,0.07,0.329,0.462,0.625,0.582,0.143,0.141,5.816,6.68,0.167,3.83,3.38,3.43,19.81,65.05
10013,2,"10 - 30",10,30,2332.792,15.2,0,15.2,0.86,7.075,0.15,0.5505,0.4,26.0208860759493,0.6325,1.55,0.5335,36.91,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.72,4.01,4.14,17.67,NA
10013,2,"30 - 60",30,60,3691.092,6.61,0,6.61,0.46,1.975,0.108333333333333,0.1025,0.366666666666666,14.1348101265823,0.153,0.43,0.101666666666667,17.37,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.68,4.36,4.42,14.37,NA
10013,2,"60 - 90",60,90,3833.82,2.47,0,2.47,0.18,0.5,0.108333333333333,0.1025,0.366666666666666,8.86835443037975,0.1,0.204,0.101666666666667,10.35,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.66,4.42,4.41,13.72,NA
10014,2,"0 - 5",0,5,403.04,102,0,102,7.64,12.87,3.01,4.325,0.45,41.2803797468355,0.4215,37.9,8.13,108.39,0.19,0.959,0.763,1.222,0.766,0.0426,0.117,6.593,7.226,0.776,3.8,2.89,3.02,13.35,106.36
10014,2,"5 - 10",5,10,498.696,38.4,0,38.4,2.97,4.87,1.285,1.44,0.366666666666666,46.8506329113924,0.167,20.4,5.625,81,0.1,0.976,0.709,1.239,0.869,0.0613,0.128,7.493,8.492,0.346,3.89,3.04,3.2,12.93,39.34
10014,2,"10 - 30",10,30,2370.192,22,0,22,1.6,1.94,1,0.788,0.4,48.5683544303798,0.15,8.57,2.485,63.9,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.14,3.36,3.5,13.75,NA
10014,2,"30 - 60",30,60,3839.04,5.54,0,5.54,0.47,4.51,0.8035,1.87,0.5,42.8354430379747,0.5065,3.02,0.653,54.7,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.57,3.63,3.84,11.79,NA
10014,2,"60 - 90",60,90,4409.964,2.01,0,2.01,0.23,17.75,1.035,5.365,0.5,30.2626582278481,1.3,2.91,0.25,59.37,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.92,3.64,3.99,8.74,NA
10015,2,"0 - 5",0,5,660.569,21.4,0,21.4,1.09,2.45,0.8,0.75,0.4,17.2822784810126,0.1,12.5,1.2,35.48,0.12,0.244,0.239,0.37,0.196805,0.0435,0.042,1.993,3.236,0.139,4.09,3.01,3.11,19.63,87.7
10015,2,"5 - 10",5,10,673.51,17.2,0,17.2,0.89,0.9,0.35,0.4,0.4,20.2639240506329,0.15,5.59,0.6,28.65,0.07,0.333,0.205,0.346,0.232,0.0603,0.034,2.467,3.426,0.122,4.25,3.34,3.39,19.33,51.65
10015,2,"10 - 30",10,30,2721.96,10.9,0,10.9,0.58,0.6,0.108333333333333,0.2,0.4,15.4398734177215,0.1,2.85,0.25,19.95,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,3.7,3.67,18.79,NA
10015,2,"30 - 60",30,60,4157.472,3.36,0,3.36,0.24,0.5,0.108333333333333,0.2,0.45,10.3398734177215,0.15,0.407,0.15,12.31,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,4.2,4.2,14,NA
10015,2,"60 - 90",60,90,4250.88,3.84,0,3.84,NA,0.3775,0.133333333333333,0.455,0.493,9.89683544303798,0.126,0.504,0.166,12.15,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.87,4.32,4.23,NA,NA
10016,2,"0 - 5",0,5,597.2175,50.2,0,50.2,2.65,3.24,0.9205,1.905,0.316666666666667,30.0126582278481,0.05025,28.7,5.09,70.24,0.09,0.193,0.4,0.546,0.364,0.0212,0.177,3.499,5.028,0.383,3.74,2.72,2.94,18.94,260.1
10016,2,"5 - 10",5,10,634.293,36.4,0,36.4,1.73,1.69,0.6905,0.94,0.316666666666667,43.5468354430379,0.05025,13.6,4.715,65.55,0.06,0.142,0.234,0.425,0.324,0.0191,0.039,3.399,5.556,0.21,3.9,3.16,3.2,21.04,256.34
10016,2,"10 - 30",10,30,2137.272,25.1,0,25.1,1.2,1.105,0.45,0.4135,0.316666666666667,48.6253164556962,0.05025,2.55,2.075,55.59,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,3.79,3.8,20.92,NA
10016,2,"30 - 60",30,60,4086.168,7.03,0,7.03,0.36,0.208333333333333,0.25,0.15,0.316666666666667,13.2873417721519,0.05025,0.257,0.25,14.77,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.61,4.47,4.44,19.53,NA
10016,2,"60 - 90",60,90,4542.045,1.93,0,1.93,NA,0.208333333333333,0.108333333333333,0.15,0.316666666666667,5.98481012658228,0.05025,0,0.45,7.27,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.82,4.62,4.62,NA,NA
10017,2,"0 - 5",0,5,478.46,66.5,0,66.5,3.41,8.975,1.975,2.91,0.965,24.6398734177215,0.332,26.1,2.555,68.45,0.22,0.162,0.475,0.499,0.349,0.0442,0.18,2.82,4.624,0.323,3.9,2.83,3.1,19.5,410.49
10017,2,"5 - 10",5,10,657.295,20.9,0,20.9,1.01,2.555,0.646,0.9485,0.316666666666667,25.0886075949367,0.1,11.3,2.805,43.76,0.1,0.155,0.289,0.539,0.313,0.0436,0.064,3.232,6.158,0.124,3.99,3.03,3.23,20.69,134.84
10017,2,"10 - 30",10,30,2692.8,11.7,0,11.7,0.65,1.029,0.606,0.3225,0.316666666666667,29.4145569620253,0.15,1.77,1.085,34.69,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.52,3.88,3.91,18,NA
10017,2,"30 - 60",30,60,4246.02,5.07,0,5.07,0.36,0.208333333333333,0.3105,0.2,0.316666666666667,16.8518987341772,0.1,0.175,0.3,18.46,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.66,4.35,4.27,14.08,NA
10017,2,"60 - 90",60,90,4575.732,2.11,0,2.11,NA,0.208333333333333,0.366,0.2,0.316666666666667,11.6348101265823,0.1,0,0.5,13.33,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.76,4.43,4.33,NA,NA
10018,2,"0 - 5",0,5,554.6,66,0,66,2.36,6.475,0.651,2.035,0.7,26.5354430379747,0.1,33.8,1.42,71.72,0.14,0.071,0.1515,0.128,0.04225,0.00928,0.0621666666666667,0.944,0.8355,0.293,3.79,2.64,2.85,27.97,929.58
10018,2,"5 - 10",5,10,729.135,8.94,0,8.94,0.36,0.5555,0.108333333333333,0.2,0.4,8.38291139240506,0.05025,6.52,0.25,16.47,0.08,NA,0.101,0.146,0.0663,0.00932,0.00833333333333333,0.864,0.459,NA,4.03,3.08,3.22,24.83,NA
10018,2,"10 - 30",10,30,3142.2,6.77,0,6.77,0.31,0.591,0.15,0.2,0.366666666666666,13.029746835443,0.05025,4.75,0.3565,19.49,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.51,3.42,21.84,NA
10018,2,"30 - 60",30,60,5017.8,7.6,0,7.6,0.28,0.503,0.15,0.15,0.4,16.9582278481013,0.05025,2.6,0.3625,21.17,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.47,3.91,3.85,27.14,NA
10018,2,"60 - 90",60,90,4988.412,4.72,0,4.72,NA,0.45,0.108333333333333,0.15,0.4,10.8879746835443,0.05025,1.24,0.35,13.64,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,4.13,4.08,NA,NA
10019,2,"0 - 5",0,5,426.405,78.6,0,78.6,3.03,12.2,0.764,2.46,1.055,38.5632911392405,0.2825,24.3,1.167,80.79,0.2,0.182,0.517,0.341,0.143585,0.0214,0.233,2.493,1.097,0.472,4.01,2.99,3.15,25.94,431.87
10019,2,"5 - 10",5,10,633.609,31.7,0,31.7,1.21,5.445,0.271,0.9215,0.7045,25.3474683544304,0.1005,10.7,0.6325,44.12,0.17,0.0681,0.367,0.232,0.173,0.0231,0.177,2.387,1.075,0.194,4.18,3.23,3.29,26.2,465.49
10019,2,"10 - 30",10,30,3071.512,9.2,0,9.2,0.4,2.11,0.112833333333333,0.4815,0.5025,15.0943037974683,0.05025,3.83,0.5265,22.71,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.49,3.6,3.67,23,NA
10019,2,"30 - 60",30,60,4489.008,4.85,0,4.85,0.22,1.81,0.108333333333333,0.416,0.975,13.8348101265823,0.05025,0.97,0.5015,18.67,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.89,4,4.08,22.05,NA
10019,2,"60 - 90",60,90,4300.764,2.49,0,2.49,NA,4.465,0.159833333333333,1.92,3.025,10.9069620253164,0.1825,1.31,0.4,22.37,0.43,0.14,0.55,1.24,0.913,0.51,0.055,7.331,11.596,0.0329,4.8,4.03,4.14,NA,17.79
10020,2,"0 - 5",0,5,718.4925,39.3,0,39.3,0.97,8.045,0.199333333333333,1.729,0.316666666666667,10.6708860759494,0.05025,24.5,0.628,46.14,0.22,0.0525,0.23,0.565,0.0332,0.0153,0.112,1.549,0.552,0.11,3.83,2.75,2.91,40.52,748.57
10020,2,"5 - 10",5,10,790.634,8.22,0,8.22,0.24,1.153,0.108333333333333,0.4,0.316666666666667,9.0867088607595,0.05025,8.91,0.3,20.32,0.1,0.0333,0.112,0.201,0.0208,0.0132,0.0289,0.985,0.446,0.0333,3.95,3.15,3.23,34.25,246.85
10020,2,"10 - 30",10,30,3132.456,7.07,0,7.07,0.3,1.0725,0.376333333333333,0.1025,0.586666666666667,30.9329113924051,0.05025,4.73,1.3775,39.23,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.15,3.62,3.54,23.57,NA
10020,2,"30 - 60",30,60,5119.389,3.72,0,3.72,0.21,0.6775,0.95,0.4,0.336166666666667,57.9246835443038,0.1,1.65,0.5335,62.57,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.19,3.82,3.83,17.71,NA
10020,2,"60 - 90",60,90,5184.432,1.91,0,1.91,0.2,0.841,1.72,0.897,0.586666666666667,90.6506329113924,0.05025,2.45,0.35,97.55,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.34,3.62,3.72,9.55,NA
10021,2,"0 - 5",0,5,565.972,21.5,0,21.5,1.13,0.45,0.178,0.733,0.5,20.05,0.156,10.2,3.02,35.29,0.05,0.273,0.546,0.486,0.321,0.114,0.145,3.026,4.527,0.193,3.96,3.18,3.25,19.03,78.75
10021,2,"5 - 10",5,10,637.032,15.7,0,15.7,0.77,0.45,0.108333333333333,0.4535,0.45,18.643670886076,0.3415,5.27,1.2715,26.99,0.05,0.218,0.539,0.442,0.326,0.189,0.123,3.132,4.422,0.0844,4.06,3.49,3.53,20.39,72.02
