"bund_nr","lfd_nr","zwiesel","bart","alter","alter_methode","d_mess","bhd_hoehe","hoehe","kransatz","azi","hori","kraft","schi"
"34010_2",14,NA,"GFI",41,1,128,130,113,103,131,1200,"4",1
"34010_2",15,1,"GFI",41,1,146,130,133,100,135,190,"4",1
"34010_2",16,1,"GFI",41,1,181,130,143,89,135,210,"2",1
"34010_2",17,NA,"GFI",41,1,257,130,177,97,135,880,"1",1
"34010_2",18,NA,"GFI",41,1,96,130,96,77,149,1000,"4",1
"34010_2",19,NA,"GFI",41,1,104,130,115,98,151,930,"4",1
"34010_2",20,NA,"GFI",41,1,101,130,102,88,156,1220,"4",1
"34010_2",21,NA,"GFI",39,2,268,130,170,95,162,970,"1",1
"34010_2",22,NA,"GFI",41,1,197,130,157,121,166,630,"2",1
"34010_2",23,NA,"GFI",41,1,109,130,103,85,176,630,"4",1
"34010_2",24,NA,"GFI",41,1,100,130,71,62,178,1110,"4",1
"34010_2",25,NA,"GFI",41,1,164,130,137,106,185,590,"3",1
"34010_2",26,NA,"GFI",41,1,232,130,166,128,190,960,"2",1
"34010_2",27,NA,"GFI",41,1,130,130,112,88,191,750,"4",1
"34010_2",28,NA,"GFI",41,1,198,130,161,126,209,890,"2",1
"34010_2",29,NA,"GFI",41,1,155,130,135,101,213,1240,"3",1
"34010_2",30,NA,"GFI",41,1,272,130,177,111,215,1130,"1",1
"34010_2",31,NA,"GFI",41,1,115,130,110,98,217,850,"4",1
"34010_2",32,NA,"GFI",38,2,230,130,169,101,227,870,"2",1
"34010_2",33,NA,"GFI",41,1,193,130,173,125,233,1190,"2",1
"34010_2",34,NA,"GFI",41,1,276.9,140,188,121,236,510,"1",1
"34010_2",35,NA,"GFI",41,1,196,130,161,115,236,820,"2",1
"34010_2",36,NA,"GFI",41,1,130,130,123,103,236,1090,"4",1
"34010_2",37,NA,"GFI",41,1,151,130,150,128,240,1200,"3",1
"34010_2",38,NA,"GFI",41,1,161,130,160,126,249,1110,"3",1
"34010_2",39,NA,"GFI",41,1,170,130,177,136,254,980,"3",1
"34010_2",40,NA,"GFI",41,1,132.5,130,139,102,262,480,"4",1
"34010_2",41,NA,"GFI",41,1,243.5,130,173,119,276,280,"2",1
"34010_2",42,NA,"GFI",41,1,164,130,129,93,279,670,"3",1
"34010_2",43,NA,"GFI",41,1,253,130,173,109,282,460,"2",1
"34010_2",44,NA,"GFI",41,1,127,130,102,82,282,1040,"4",1
"34010_2",45,NA,"GFI",41,2,225,130,167,102,298,810,"2",1
"34010_2",46,NA,"GFI",41,1,262,130,169,77,308,1180,"2",1
"34010_2",47,NA,"GFI",41,1,155,130,144,120,310.5,650,"3",1
"34010_2",48,NA,"GFI",41,1,135,130,116,104,315,1180,"4",1
"34010_2",49,NA,"GFI",41,1,98,130,90,83,318,1120,"4",1
"34010_2",50,NA,"GFI",41,1,207,130,164,128,331,1180,"2",1
"34010_2",51,NA,"GFI",40,2,227,130,175,126,333,870,"2",1
"34010_2",52,NA,"GFI",41,1,170,130,146,109,334,730,"3",1
"34010_2",53,NA,"GFI",41,1,177,130,146,100,335,1070,"3",1
"34010_2",54,NA,"GFI",38,2,226,130,172,114,337.5,390,"2",1
"34010_2",55,NA,"GFI",41,1,110,130,85,72,342,1160,"4",1
"34010_2",56,NA,"GFI",41,1,129,130,103,83,346,520,"4",1
