"MoMoK_Nr","Spalte1","Bundeland","Datum","Nr_VJ_PK","Lage","Distanz MB [cm]","pk_maxdist [cm]","LfdNr","Baumart (Code)","Baumart","Hoehe [cm]","grklasse"
32050,"Stromtrasse/Spechti","BB",2022-05-05,"W","West",1000,344,5,108,"MBI",110,0
32050,"Stromtrasse/Spechti","BB",2022-05-05,"W","West",1000,344,6,108,"MBI",220,1
32050,"Stromtrasse/Spechti","BB",2022-05-05,"W","West",1000,344,7,108,"MBI",220,1
32050,"Stromtrasse/Spechti","BB",2022-05-05,"W","West",1000,344,8,108,"MBI",255,1
32050,"Stromtrasse/Spechti","BB",2022-05-05,"W","West",1000,344,9,108,"MBI",225,1
32050,"Stromtrasse/Spechti","BB",2022-05-05,"W","West",1000,344,10,108,"MBI",315,1
32070,"Hellsee/Biesenthal","BB",2022-07-04,"N","Nord",1000,479,1,104,"SER",173,1
32070,"Hellsee/Biesenthal","BB",2022-07-04,"N","Nord",1000,479,2,104,"SER",110,0
32070,"Hellsee/Biesenthal","BB",2022-07-04,"N","Nord",1000,479,3,104,"SER",150,1
32070,"Hellsee/Biesenthal","BB",2022-07-04,"N","Nord",1000,479,4,104,"SER",260,1
32070,"Hellsee/Biesenthal","BB",2022-07-04,"N","Nord",1000,479,5,104,"SER",255,1
32070,"Hellsee/Biesenthal","BB",2022-07-04,"N","Nord",1000,479,6,104,"SER",700,3
32070,"Hellsee/Biesenthal","BB",2022-07-04,"N","Nord",1000,479,7,108,"MBI",960,3
32070,"Hellsee/Biesenthal","BB",2022-07-04,"N","Nord",1000,479,8,108,"MBI",1030,3
32070,"Hellsee/Biesenthal","BB",2022-07-04,"E","Ost",1000,478,1,104,"SER",205,1
32070,"Hellsee/Biesenthal","BB",2022-07-04,"E","Ost",1000,478,2,104,"SER",70,0
32070,"Hellsee/Biesenthal","BB",2022-07-04,"E","Ost",1000,478,3,104,"SER",120,0
32070,"Hellsee/Biesenthal","BB",2022-07-04,"E","Ost",1000,478,4,121,"VBE",295,1
32070,"Hellsee/Biesenthal","BB",2022-07-04,"S","Süd",1000,416,1,108,"MBI",403,1
32070,"Hellsee/Biesenthal","BB",2022-07-04,"S","Süd",1000,416,2,104,"SER",107,0
32070,"Hellsee/Biesenthal","BB",2022-07-04,"S","Süd",1000,416,3,104,"SER",157,1
32070,"Hellsee/Biesenthal","BB",2022-07-04,"S","Süd",1000,416,4,108,"MBI",154,1
32070,"Hellsee/Biesenthal","BB",2022-07-04,"S","Süd",1000,416,5,NA,"SHA",160,1
32070,"Hellsee/Biesenthal","BB",2022-07-04,"W","West",1000,494,1,112,"GES",125,0
32070,"Hellsee/Biesenthal","BB",2022-07-04,"W","West",1000,494,2,112,"GES",146,1
32070,"Hellsee/Biesenthal","BB",2022-07-04,"W","West",1000,494,3,104,"SER",145,1
32070,"Hellsee/Biesenthal","BB",2022-07-04,"W","West",1000,494,4,111,"RBU",290,1
32070,"Hellsee/Biesenthal","BB",2022-07-04,"W","West",1000,494,5,104,"SER",310,1
32070,"Hellsee/Biesenthal","BB",2022-07-04,"W","West",1000,494,6,112,"GES",640,2
32090,"Pfauenfließ/Biesenthal","BB",2022-06-27,"N","Nord",1000,490,1,104,"SER",170,1
32090,"Pfauenfließ/Biesenthal","BB",2022-06-28,"S","Süd",1000,500,1,104,"SER",630,3
32090,"Pfauenfließ/Biesenthal","BB",2022-06-29,"W","West",1000,500,1,104,"SER",140,1
32090,"Pfauenfließ/Biesenthal","BB",2022-06-30,"W","West",1000,500,2,104,"SER",480,3
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"N","Nord",1000,233,1,153,"STK",196,1
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"N","Nord",1000,233,2,NA,"FLB",340,1
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"N","Nord",1000,233,3,153,"STK",168,1
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"N","Nord",1000,233,4,153,"STK",265,1
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"N","Nord",1000,233,5,NA,"FLB",297,1
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"N","Nord",1000,233,6,153,"STK",320,1
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"N","Nord",1000,233,7,153,"STK",97,0
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"N","Nord",1000,233,8,153,"STK",340,2
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"N","Nord",1000,233,9,153,"STK",520,2
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"N","Nord",1000,233,10,153,"STK",460,1
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"E","Ost",1000,336,1,153,"STK",70,0
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"E","Ost",1000,336,2,153,"STK",75,0
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"E","Ost",1000,336,3,121,"VBE",167,1
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"E","Ost",1000,336,4,153,"STK",160,1
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"E","Ost",1000,336,5,153,"STK",216,1
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"E","Ost",1000,336,6,153,"STK",370,1
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"E","Ost",1000,336,7,153,"STK",115,1
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"E","Ost",1000,336,8,153,"STK",540,3
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"E","Ost",1000,336,9,153,"STK",640,2
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"E","Ost",1000,336,10,153,"STK",800,3
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"S","Süd",1000,393,1,153,"STK",210,1
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"S","Süd",1000,393,2,153,"STK",225,1
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"S","Süd",1000,393,3,153,"STK",147,1
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"S","Süd",1000,393,4,NA,"FLB",320,1
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"S","Süd",1000,393,5,NA,"FLB",400,1
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"S","Süd",1000,393,6,153,"STK",490,1
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"S","Süd",1000,393,7,153,"STK",540,1
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"S","Süd",1000,393,8,153,"STK",500,3
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"S","Süd",1000,393,9,153,"STK",510,2
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"S","Süd",1000,393,10,153,"STK",680,2
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"W","West",1000,470,1,153,"STK",60,0
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"W","West",1000,470,2,153,"STK",135,1
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"W","West",1000,470,3,153,"STK",385,2
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"W","West",1000,470,4,121,"VBE",285,1
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"W","West",1000,470,5,NA,"FLB",355,1
32080,"Plötzensee/Biesenthal","BB",2022-08-03,"W","West",1000,470,6,NA,"FLB",245,1
