"MoMoK_Nr","Name","Bundeland","Datum_Aufnahme","Nr_PK","BNr","ZW","St","Baumart (Code)","Baumart","Schi","Kraft","Alt","Alt-Meth","BHD [mm]","BHD Hoehe [cm]","Permanent-Maßband","Punktdendrometer","BHD Stufen","Hoehe [dm]","Kronenansatz [dm]","Distanz [cm]","Azimut [Gon]","Azimut [°]","Bemerkung"
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",20,NA,0,207,"GFI",1,"2","70",1,287,130,1,0,5,195,45,1230,"335.55555555555526",302,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",21,NA,0,207,"GFI",1,"4","37",1,184,130,0,0,3,NA,NA,1203,"328.88888888888857",296,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",22,NA,0,207,"GFI",1,"3","37",1,133,130,0,0,2,NA,NA,1033,"315.55555555555526",284,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",23,NA,0,207,"GFI",1,"3","37",1,169,130,0,0,3,NA,NA,1161,"309.99999999999972",279,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",24,NA,0,207,"GFI",1,"4","37",1,117,130,0,0,2,NA,NA,1165,"303.33333333333303",273,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",25,NA,0,207,"GFI",1,"3","37",1,161,130,0,0,3,NA,NA,325,"1.1111111111111101",1,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",26,NA,0,207,"GFI",1,"2","37",1,215,130,1,0,4,175,80,449,"11.1111111111111",10,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",27,NA,0,207,"GFI",1,"3","37",1,134,130,0,0,2,NA,NA,602,"27.77777777777775",25,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",28,NA,0,207,"GFI",2,NA,"37",1,109,130,0,0,2,91,55,735,"sa",15,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",29,NA,0,207,"GFI",1,"4","37",1,208,130,0,0,4,NA,NA,748,"8.8888888888888804",8,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",30,NA,0,207,"GFI",1,"4","37",1,151,130,0,0,3,NA,NA,523,"371.11111111111074",334,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",31,NA,0,207,"GFI",1,"2","70",1,268,130,0,0,5,NA,NA,947,"3.3333333333333304",3,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",32,NA,0,207,"GFI",1,"3","37",1,184,130,0,0,3,NA,NA,1039,"386.66666666666629",348,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",33,NA,0,207,"GFI",2,NA,"NA",1,90,130,0,0,1,NA,NA,748,"8.8888888888888804",8,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",34,NA,0,207,"GFI",1,"4","NA",1,96,160,0,0,1,NA,NA,884,"392.22222222222183",353,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",35,NA,0,207,"GFI",2,NA,"NA",1,75,130,0,0,1,65,38,586,"1.1111111111111101",1,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",36,NA,0,207,"GFI",2,NA,"NA",1,72,130,0,0,1,58,48,741,"3.3333333333333304",3,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",37,NA,0,207,"GFI",2,NA,"NA",1,78,130,0,0,1,74,53,832,"1.1111111111111101",1,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",38,NA,0,207,"GFI",1,"2","37",1,219,130,0,0,4,NA,NA,811,"386.66666666666629",348,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",39,NA,0,207,"GFI",2,NA,"NA",1,120,130,0,0,2,NA,NA,862,"375.5555555555552",338,NA
34030,"Steinbach/Steinbach","SN",2022-08-24,"MB",40,NA,0,207,"GFI",2,NA,"NA",1,105,130,0,0,2,NA,NA,826,"361.11111111111074",325,NA
