"bund_nr","lfd_nr","typ","baumgruppe","durchmesser","laenge","zersetzung","anzahl"
34010,27,4,2,"20.5",2.3,3,-9
34010,28,4,2,"24.5",2.3,3,-9
34010,29,4,2,"42",3.3,4,-9
34010,30,4,2,"37",2.2,5,-9
34010,31,4,2,"22",2,2,-9
34010,32,4,2,"24",2,3,-9
34010,33,4,2,"20",2,3,-9
34010,34,4,2,"21.5",2,5,-9
34010,35,4,2,"23",2.2,4,-9
34010,36,4,2,"28",2,5,-9
34010,37,4,2,"35",2.1,5,-9
34010,38,4,2,"33.5",2.9,5,-9
34010,39,4,2,"23",2.6,2,-9
34010,40,4,2,"25.5",2.3,3,-9
34010,41,4,2,"23",2.2,3,-9
34010,42,4,2,"21",2,3,-9
34010,43,4,2,"26",2.4,5,-9
34010,44,4,2,"19",2,2,-9
34010,45,4,2,"32",2.7,5,-9
34010,46,4,2,"25.5",3.2,1,-9
34010,47,4,2,"32.5",3.6,1,-9
34010,48,4,2,"18",2.2,4,-9
34010,49,4,2,"36.5",2.9,4,-9
34010,50,5,2,"10",111,2,-9
34010,51,1,2,"8",66,3,-9
34010,52,1,2,"13",98,5,-9
34010,53,1,2,"10",10,5,-9
34010,54,1,2,"10.5",11,2,-9
34010,55,1,2,"13",78,4,-9
34010,56,1,2,"9",109,2,-9
34010,57,1,2,"9",10,2,-9
34010,58,1,2,"8",24,4,-9
34010,59,1,2,"8",23,3,-9
34010,60,1,2,"8",62,3,-9
34010,61,1,2,"10",36,3,-9
34010,62,1,2,"9.5",101,5,-9
34010,63,1,2,"9",37,5,-9
34010,64,1,2,"9",83,2,-9
34010,65,1,2,"8.5",95,2,-9
34010,66,1,2,"11.5",14,3,-9
34010,67,1,2,"12",22,5,-9
34010,68,1,2,"17",94,4,-9
34010,69,1,2,"10",23,5,-9
34010,70,1,2,"8",30,5,-9
32010,1,1,1,"20",67,3,-9
32010,2,1,1,"9",13,4,-9
32010,3,1,1,"13",8,4,-9
32010,4,1,1,"5",95,1,-9
