"bund_nr","ld","ld_bze","ld_wze","bwi_tnr","bwi_eck","eu_wze","srid_ist","istre","istho","raster_8x8","raster_16x16","raster","hoehenn"
100031,-9,-9,6658,NA,NA,-9,31468,4129336,5470118,FALSE,FALSE,"-9",190
100032,-9,-9,6670,NA,NA,-9,31468,4130335,5482103,FALSE,FALSE,"-9",280
100033,-9,-9,6690,NA,NA,-9,31468,4131912,5502041,FALSE,FALSE,"-9",290
100034,-9,-9,6862,NA,NA,-9,31468,4131687,5474022,TRUE,FALSE,"-9",350
100035,-9,-9,-9,NA,NA,-9,31468,4133928,5501889,FALSE,FALSE,"-9",370
100036,-9,-9,-9,NA,NA,-9,31468,4134572,5509845,FALSE,FALSE,"-9",385
100037,-9,100037,-9,NA,NA,-9,31468,4132952,5472662,FALSE,FALSE,"-9",295
100038,-9,-9,7062,NA,NA,-9,31468,4133649,5473777,FALSE,FALSE,"-9",345
100039,-9,100039,7262,NA,NA,-9,31468,4135664,5473619,FALSE,FALSE,"-9",312
100040,-9,100040,7270,NA,NA,-9,31468,4136289,5481584,FALSE,FALSE,"-9",320
100041,-9,-9,7274,NA,NA,-9,31468,4136564,5485623,FALSE,FALSE,"-9",370
100042,-9,-9,-9,NA,NA,-9,-9,-9,-9,FALSE,FALSE,"-9",485
100043,-9,-9,7458,NA,NA,-9,31468,4137350,5469466,FALSE,FALSE,"-9",285
100044,-9,100044,-9,NA,NA,-9,31468,4137768,5476764,FALSE,FALSE,"-9",345
100045,-9,100045,7466,NA,NA,-9,31468,4137973,5477424,FALSE,FALSE,"-9",385
100046,-9,-9,7474,NA,NA,-9,31468,4138595,5485435,FALSE,FALSE,"-9",315
100047,-9,100047,7498,NA,NA,-9,31468,4140522,5509415,FALSE,FALSE,"-9",485
100048,-9,-9,-9,NA,NA,-9,-9,-9,-9,FALSE,FALSE,"-9",380
100049,-9,-9,8050,NA,NA,-9,31468,4142709,5461004,FALSE,FALSE,"-9",355
100050,-9,100050,8054,NA,NA,-9,31468,4143010,5464987,FALSE,FALSE,"-9",240
100051,-9,-9,8266,NA,NA,-9,31468,4145947,5476808,FALSE,FALSE,"-9",300
100052,-9,100052,8274,NA,NA,-9,31468,4146597,5484789,FALSE,FALSE,"-9",375
100053,-9,-9,-9,NA,NA,-9,-9,-9,-9,FALSE,FALSE,"-9",345
100054,-9,-9,8294,NA,NA,-9,31468,4148189,5504757,FALSE,FALSE,"-9",365
100055,-9,100055,-9,NA,NA,-9,31468,4145884,5460901,FALSE,FALSE,"-9",385
100056,-9,100056,8466,NA,NA,-9,31468,4147947,5476665,FALSE,FALSE,"-9",335
100057,-9,100057,8470,NA,NA,652,31468,4148295,5480648,FALSE,TRUE,"-9",320
100058,-9,100058,8490,NA,NA,-9,31468,4149876,5500618,FALSE,FALSE,"-9",487
100059,-9,-9,-9,NA,NA,-9,31468,4148362,5480842,FALSE,FALSE,"-9",320
100060,-9,-9,8650,NA,NA,-9,31468,4148708,5460494,FALSE,FALSE,"-9",385
100061,-9,-9,8662,NA,NA,-9,31468,4149620,5472564,FALSE,FALSE,"-9",295
100062,-9,100062,8666,NA,NA,-9,31468,4149976,5476496,FALSE,FALSE,"-9",295
100063,-9,-9,8678,NA,NA,-9,31468,4150895,5488488,FALSE,FALSE,"-9",325
100064,-9,100064,8858,NA,NA,-9,31468,4151333,5468335,FALSE,FALSE,"-9",245
100065,-9,100065,8862,NA,NA,-9,31468,4151640,5472334,FALSE,FALSE,"-9",275
100066,-9,100066,8870,NA,NA,-9,31468,4152305,5480527,FALSE,FALSE,"-9",295
100067,-9,-9,8874,NA,NA,-9,31468,4152682,5484666,FALSE,FALSE,"-9",335
100068,-9,100068,8878,NA,NA,-9,31468,4152903,5488332,FALSE,FALSE,"-9",335
100069,-9,-9,9058,NA,NA,-9,31468,4153308,5468178,FALSE,FALSE,"-9",260
100070,-9,100070,-9,NA,NA,-9,31468,4154575,5459859,FALSE,FALSE,"-9",375
100071,-9,100071,9250,NA,NA,-9,31468,4154698,5460049,FALSE,FALSE,"-9",370
100072,-9,100072,9262,NA,NA,-9,31468,4155641,5472000,TRUE,FALSE,"-9",285
100073,-9,100073,9274,NA,NA,-9,31468,4156578,5483987,FALSE,FALSE,"-9",495
100074,-9,-9,-9,NA,NA,-9,-9,-9,-9,FALSE,FALSE,"-9",320
100075,-9,-9,-9,NA,NA,-9,-9,-9,-9,FALSE,FALSE,"-9",320
100076,-9,-9,9462,NA,NA,-9,31468,4157608,5471883,FALSE,FALSE,"-9",340
100077,-9,-9,9470,NA,NA,-9,31468,4158257,5479852,FALSE,FALSE,"-9",275
100078,-9,100078,9670,NA,NA,-9,31468,4160238,5479686,FALSE,FALSE,"-9",255
100079,-9,-9,9870,NA,NA,-9,31468,4162241,5479558,FALSE,FALSE,"-9",255
100080,-9,100080,66,NA,NA,-9,31468,4163898,5475469,FALSE,FALSE,"-9",285
100081,-9,100081,5254,NA,NA,597,31468,4115057,5467224,FALSE,TRUE,"-9",257
100082,-9,100082,7686,NA,NA,-9,31468,4141621,5497316,TRUE,FALSE,"-9",389
100083,-9,100083,3686,NA,NA,624,31468,4101643,5500414,FALSE,TRUE,"-9",351
100084,-9,100084,-9,NA,NA,-9,31468,4100350,5497421,FALSE,FALSE,"-9",415
100085,-9,100085,-9,NA,NA,-9,31468,4162039,5480980,FALSE,FALSE,"-9",262
100086,-9,100086,-9,NA,NA,-9,31468,4107351,5500679,FALSE,FALSE,"-9",413
100087,-9,100087,-9,NA,NA,-9,31468,4147217,5504829,FALSE,FALSE,"-9",480
100088,-9,100088,6890,NA,NA,-9,31468,4133883,5501879,FALSE,FALSE,"-9",370
100089,-9,100089,6898,NA,NA,-9,31468,4134557,5509856,FALSE,FALSE,"-9",400
100090,-9,100090,-9,NA,NA,-9,31468,4148357,5480847,FALSE,FALSE,"-9",294
100100,-9,-9,4886,NA,NA,-9,31468,4113578,5499532,FALSE,FALSE,"-9",320
100101,-9,-9,5290,NA,NA,-9,31468,4117778,5503197,FALSE,FALSE,"-9",-9
100102,-9,-9,4074,NA,NA,-9,31468,4104662,5488163,FALSE,FALSE,"-9",310
100103,-9,-9,4674,NA,NA,-9,31468,4110632,5487669,FALSE,FALSE,"-9",340
100104,-9,-9,4682,NA,NA,-9,31468,4111290,5495663,FALSE,FALSE,"-9",210
100105,-9,-9,5074,NA,NA,-9,31468,4114628,5487375,FALSE,FALSE,"-9",355
100106,-9,-9,5482,NA,NA,-9,31468,4119286,5494993,FALSE,FALSE,"-9",365
100107,-9,-9,5490,NA,NA,-9,31468,4119941,5502996,FALSE,FALSE,"-9",420
100108,-9,-9,5882,NA,NA,-9,31468,4123250,5494712,FALSE,FALSE,"-9",315
100109,-9,-9,6282,NA,NA,-9,31468,4127293,5494403,FALSE,FALSE,"-9",280
100110,-9,-9,6454,NA,NA,-9,31468,4127040,5466242,FALSE,FALSE,"-9",275
100111,-9,-9,6682,NA,NA,-9,31468,4131268,5494068,FALSE,FALSE,"-9",340
100112,-9,-9,6686,NA,NA,-9,31468,4131590,5498060,FALSE,FALSE,"-9",370
100113,-9,-9,6698,NA,NA,-9,31468,4132621,5509985,FALSE,FALSE,"-9",550
100114,-9,-9,7258,NA,NA,-9,31468,4135360,5469627,FALSE,FALSE,"-9",270
100115,-9,-9,7278,NA,NA,-9,31468,4136844,5489565,FALSE,FALSE,"-9",360
100116,-9,-9,7294,NA,NA,-9,31468,4138187,5505589,FALSE,FALSE,"-9",335
100117,-9,-9,7490,NA,NA,-9,31468,4139924,5501414,FALSE,FALSE,"-9",450
100118,-9,-9,7494,NA,NA,-9,31468,4140233,5505405,FALSE,FALSE,"-9",545
100119,-9,-9,7678,NA,NA,-9,31468,4140945,5489280,TRUE,FALSE,"-9",320
100120,-9,-9,7694,NA,NA,-9,31468,4142258,5505263,TRUE,FALSE,"-9",435
