"bund_nr","lfd_nr","randtyp","randform","anfang_dist","end_dist","knick_dist","anfang_azi","end_azi","knick_azi"
80214,1,1,1,2459,2039,-2,386,31,-2
80221,1,2,1,2548,2505,-2,398,382,-2
80227,1,3,1,2116,2402,-2,190,214,-2
80227,2,2,1,2730,2803,-2,297,318,-2
80228,1,3,2,657,1000,452,165,366,305
80228,2,1,1,1819,1989,-2,365,273,-2
80231,1,2,1,1752,1779,-2,353,380,-2
80233,1,4,1,1050,450,-2,400,100,-2
80234,1,3,2,852,1200,178,180,325,1200
80236,1,3,2,687,1717,533,21,279,392
80238,1,2,1,1648,2546,-2,368,44,-2
80238,2,1,1,2142,2065,-2,85,116,-2
80260,1,2,1,2171,1980,-2,31,48,-2
80261,1,2,2,1493,1807,1620,294,353,345
80263,1,3,1,735,737,-2,8,342,-2
80264,1,3,1,1622,1198,-2,248,202,-2
80284,1,2,1,2198,2507,-2,391,35,-2
80286,1,2,2,1471,1538,1628,14,342,389
80292,1,3,1,1732,1731,-2,361,393,-2
80292,2,2,2,1692,2129,1458,63,166,141
80303,1,3,1,1384,1405,-2,301,262,-2
80304,1,2,1,1085,1088,-2,281,207,-2
100018,1,2,1,2401,2678,-2,26,138,-2
100021,1,2,1,2717,2659,-2,30,315,-2
100022,1,2,1,2905,2809,-2,32,117,-2
100029,1,2,1,2211,2875,-2,220,337,-2
100039,1,3,1,1720,2358,-2,64,136,-2
100040,1,2,2,2027,2197,988,33,153,94
100045,1,3,1,3094,2474,-2,208,56,-2
100050,1,1,1,3145,2785,-2,397,314,-2
100064,1,1,2,2242,2310,1225,375,237,305
100066,1,1,2,3233,3185,2106,60,166,48
100068,1,2,1,2335,2767,-2,294,165,-2
100071,1,2,1,1699,2124,-2,207,383,-2
100071,2,2,1,2415,1975,-2,397,191,-2
100072,1,2,1,3644,3425,-2,73,155,-2
100082,1,1,1,2082,2244,-2,11,50,-2
100082,2,2,1,2029,1910,-2,136,246,-2
120008,1,-9,1,1811,1550,-2,336,217,-2
120015,1,2,1,1488,2004,-2,245,102,-2
120020,1,3,1,1811,1750,-2,80,178,-2
120039,1,3,1,1440,1422,-2,272,214,-2
120040,1,2,1,1261,1252,-2,234,334,-2
120047,1,2,1,2019,1943,-2,133,223,-2
120058,1,1,1,2099,1686,-2,132,47,-2
120073,1,3,1,1943,2003,-2,229,157,-2
120074,1,1,1,1739,1822,-2,268,321,-2
120075,1,3,1,1931,1907,-2,35,106,-2
120081,1,2,1,1699,1844,-2,31,140,-2
